UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Sapporo.1,Japan,Sapporo,5382.791304347827,701,9486.8
Sapporo.2,Japan,Sapporo,5502.973913043478,665,9565.6
Sapporo.3,Japan,Sapporo,5506.626086956522,585.6,9395.6
Sapporo.4,Japan,Sapporo,5701.026086956522,708.4,9343.2
Sapporo.5,Japan,Sapporo,4873.156521739131,-6.8,8939.6
Sapporo.6,Japan,Sapporo,5622.669565217391,735.8,9478.8
Sapporo.7,Japan,Sapporo,4782.469565217391,312.6,9065.8
Sapporo.8,Japan,Sapporo,2697.3478260869565,-209.4,5945.6
Sapporo.9,Japan,Sapporo,4347.113043478261,29.6,7993.6
Sapporo.10,Japan,Sapporo,5731.191304347826,808.6,9240.8
Sapporo.11,Japan,Sapporo,1409.408695652174,-289.6,3523.8
Sapporo.12,Japan,Sapporo,2645.6608695652176,-129.2,5575.8
Sapporo.13,Japan,Sapporo,5141.791304347826,481.4,9529
Sapporo.14,Japan,Sapporo,5214.113043478261,717.8,9550.8
Sapporo.15,Japan,Sapporo,5142.339130434782,-359.8,9553.2
Sapporo.16,Japan,Sapporo,5329.5999999999995,-132.8,9300.6
Sapporo.17,Japan,Sapporo,2733.3217391304347,39.6,6774.8
Sapporo.18,Japan,Sapporo,1822.0695652173913,-216.8,4851.2
Sapporo.19,Japan,Sapporo,3063.6608695652176,-184.4,5987
Sapporo.20,Japan,Sapporo,4684.156521739131,-549.2,8589.8
Sapporo.21,Japan,Sapporo,3263.6,-351.6,7407.6
Sapporo.22,Japan,Sapporo,4762.582608695652,428.8,9444.8
Sapporo.23,Japan,Sapporo,4562.504347826087,201.8,9553
Sapporo.24,Japan,Sapporo,5154.878260869566,601.6,9372.6
Sapporo.25,Japan,Sapporo,1790.6434782608696,-278.8,4532.8
Sapporo.26,Japan,Sapporo,1304.095652173913,-405.8,2893.4
Sapporo.27,Japan,Sapporo,1702.8608695652174,-271.8,4084
Sapporo.28,Japan,Sapporo,3916.113043478261,-560.2,7483.6
Sapporo.29,Japan,Sapporo,3536.1739130434785,-270.6,7248.4
Sapporo.30,Japan,Sapporo,2907.878260869565,-406.4,6774.4
Sapporo.31,Japan,Sapporo,4299.730434782609,120.2,8816
Sapporo.32,Japan,Sapporo,2639.121739130435,-256.4,5495.2
Sapporo.33,Japan,Sapporo,1910.3826086956522,-435.8,4058.2
Sapporo.34,Japan,Sapporo,3491.895652173913,-176.2,7391.6
Sapporo.35,Japan,Sapporo,1453.8695652173913,-443.6,3237.2
Sapporo.36,Japan,Sapporo,4498.669565217391,-274,8601.8
Sapporo.37,Japan,Sapporo,3021.1043478260867,-1842.6,8437
Sapporo.38,Japan,Sapporo,3031.9217391304346,-1073.6,7579.6
Sapporo.39,Japan,Sapporo,4325.55652173913,-2485.6,9469.4
Sapporo.40,Japan,Sapporo,4025.5739130434786,-447.6,8107.6
Sapporo.41,Japan,Sapporo,3720.191304347826,-357.2,8172.4
Sapporo.42,Japan,Sapporo,3404.6347826086953,-374.4,7657.4
