UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Seattle.1,USA,Seattle,5853.55652173913,2592,7586.2
Seattle.2,USA,Seattle,4725.782608695652,2395.8,6054.8
Seattle.3,USA,Seattle,5478.139130434783,1955.2,6984.8
Seattle.4,USA,Seattle,7067.095652173914,4064.2,8298.4
Seattle.5,USA,Seattle,2771.6260869565217,1654.4,3957.4
Seattle.6,USA,Seattle,125.92173913043476,-3000,7333.4
Seattle.7,USA,Seattle,6252.452173913043,2289.4,7926.8
Seattle.8,USA,Seattle,6264.704347826087,3137.4,7645
Seattle.9,USA,Seattle,5194.826086956522,2249.4,7039
Seattle.10,USA,Seattle,7806.886956521739,1934.6,9392.2
Seattle.11,USA,Seattle,8021.608695652174,5440.4,9523.2
Seattle.12,USA,Seattle,7028.504347826087,3273.6,8552.8
Seattle.13,USA,Seattle,7473.313043478261,2348.8,9492.6
Seattle.14,USA,Seattle,7971.44347826087,3315.8,9598.8
Seattle.15,USA,Seattle,4975.939130434783,224.2,6336.4
Seattle.16,USA,Seattle,5295.739130434783,1306,6487.6
Seattle.17,USA,Seattle,7572.721739130435,1599.6,9045.6
Seattle.18,USA,Seattle,7938.808695652174,2092.2,9138.2
Seattle.19,USA,Seattle,7609.139130434783,2442.6,8820.2
Seattle.20,USA,Seattle,4687.521739130435,-3000,8470.8
Seattle.21,USA,Seattle,7961.382608695652,3265.2,9211
Seattle.22,USA,Seattle,7482.008695652174,2014.8,9460.2
Seattle.23,USA,Seattle,2866.3565217391306,1120.8,4671
Seattle.24,USA,Seattle,7628.252173913043,2660.4,8913.8
Seattle.25,USA,Seattle,6909.078260869565,1005.8,8745.2
Seattle.26,USA,Seattle,7792,1519.4,9339.4
Seattle.27,USA,Seattle,7375.634782608696,2156.6,9138
Seattle.28,USA,Seattle,7791.547826086957,4872,9288.2
Seattle.29,USA,Seattle,6398.165217391304,-2118.8,8766.4
Seattle.30,USA,Seattle,6391.921739130435,2380.6,7987
Seattle.31,USA,Seattle,6329.043478260869,1885.6,8737.6
Seattle.32,USA,Seattle,6237.486956521739,1268.4,8325.4
Seattle.33,USA,Seattle,7846.44347826087,2140,9379.6
Seattle.34,USA,Seattle,6176.495652173913,646.6,8719.2
Seattle.35,USA,Seattle,8069.878260869566,3708.4,9033.6
Seattle.36,USA,Seattle,7884.539130434782,4858.4,8825.8
Seattle.37,USA,Seattle,7353.55652173913,965.6,9191
Seattle.38,USA,Seattle,3822.7739130434784,517.2,6394.6
Seattle.39,USA,Seattle,6330.278260869565,578.8,8172.2
Seattle.40,USA,Seattle,6934.773913043478,-800.4,8409.8
Seattle.41,USA,Seattle,7175.060869565217,3106.4,8512.2
Seattle.42,USA,Seattle,7737.95652173913,1172.6,9476.8
Seattle.43,USA,Seattle,3564.582608695652,-733.4,6081.8
Seattle.44,USA,Seattle,6996.617391304348,2539,8467.4
