UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Stockholm.1,Sweden,Stockholm,4808.069565217391,432.2,6991.2
Stockholm.2,Sweden,Stockholm,4400.713043478261,551.2,6613
Stockholm.3,Sweden,Stockholm,4380.530434782609,332.2,7351.6
Stockholm.4,Sweden,Stockholm,5792.860869565217,1583.6,7960.2
Stockholm.5,Sweden,Stockholm,4259.913043478261,334.4,6764
Stockholm.6,Sweden,Stockholm,5500.617391304348,847.8,7958.2
Stockholm.7,Sweden,Stockholm,3017.3478260869565,-485.6,5028.2
Stockholm.8,Sweden,Stockholm,3609.704347826087,30.2,6097.8
Stockholm.9,Sweden,Stockholm,3718.713043478261,317.8,6010.6
Stockholm.10,Sweden,Stockholm,4102.382608695652,516.8,6335.8
Stockholm.11,Sweden,Stockholm,4145.208695652173,270.4,6706.6
Stockholm.12,Sweden,Stockholm,4316.313043478261,609.4,6441.2
Stockholm.13,Sweden,Stockholm,5511.660869565218,1158.4,7846.2
Stockholm.14,Sweden,Stockholm,6134.330434782609,1448.6,8205.2
Stockholm.15,Sweden,Stockholm,6140.426086956521,1533.6,7989.4
Stockholm.16,Sweden,Stockholm,3894.391304347826,87.4,6958.6
Stockholm.17,Sweden,Stockholm,5975.626086956521,968.6,8468
Stockholm.18,Sweden,Stockholm,4738.791304347826,779,6899.2
Stockholm.19,Sweden,Stockholm,3413.660869565217,53.4,6692.6
Stockholm.20,Sweden,Stockholm,484.34782608695656,-3000,2896.8
Stockholm.21,Sweden,Stockholm,5884.026086956522,949.2,8378.6
Stockholm.22,Sweden,Stockholm,4609.234782608695,957.4,6505.6
Stockholm.23,Sweden,Stockholm,4589.530434782609,123.6,6604.6
Stockholm.24,Sweden,Stockholm,4564.017391304348,-751.4,7151.8
Stockholm.25,Sweden,Stockholm,4870.808695652174,425.8,7147.4
Stockholm.26,Sweden,Stockholm,1243.1652173913044,-861,2888.2
Stockholm.27,Sweden,Stockholm,3013.4086956521737,-266.4,5165
Stockholm.28,Sweden,Stockholm,4357.982608695653,276.8,7313.4
Stockholm.29,Sweden,Stockholm,6026.252173913043,1191.6,8980.6
Stockholm.30,Sweden,Stockholm,2535.208695652174,-385.2,5266.2
Stockholm.31,Sweden,Stockholm,4528.365217391304,-510,6877.2
Stockholm.32,Sweden,Stockholm,5304.373913043478,1014.2,7967.8
Stockholm.33,Sweden,Stockholm,5017.808695652174,823.4,7170
Stockholm.34,Sweden,Stockholm,2448.426086956522,-225.2,4215.8
Stockholm.35,Sweden,Stockholm,5419.026086956522,118.4,8764.4
Stockholm.36,Sweden,Stockholm,4866.121739130434,299.4,7912.6
Stockholm.37,Sweden,Stockholm,4258.51304347826,-367.8,7604.2
Stockholm.38,Sweden,Stockholm,4642.4000000000005,186.6,7170.8
Stockholm.39,Sweden,Stockholm,2381.4434782608696,-3000,6558.8
Stockholm.40,Sweden,Stockholm,1019.4608695652174,-3000,6970.2
Stockholm.41,Sweden,Stockholm,-2379.7391304347825,-3000,4989.2
Stockholm.42,Sweden,Stockholm,4649.44347826087,443.8,6735.2
