UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Tacoma.1,USA,Tacoma,4798.8,2642,5972.6
Tacoma.2,USA,Tacoma,4946.886956521739,2549.8,7229.2
Tacoma.3,USA,Tacoma,4505.530434782609,2444.2,5891.2
Tacoma.4,USA,Tacoma,4190.078260869565,2202,5400
Tacoma.5,USA,Tacoma,5989.973913043478,2960.4,7706.6
Tacoma.6,USA,Tacoma,6738.15652173913,2948.8,8073
Tacoma.7,USA,Tacoma,5996.582608695652,3350,7766
Tacoma.8,USA,Tacoma,3890.4,2472,4971.8
Tacoma.9,USA,Tacoma,4258.721739130435,2194.2,5638.2
Tacoma.10,USA,Tacoma,4232.495652173913,1781.8,5843.6
Tacoma.11,USA,Tacoma,5850.269565217392,3173.6,6912
Tacoma.12,USA,Tacoma,6218.51304347826,3122,7562.8
Tacoma.13,USA,Tacoma,498.1130434782609,-3000,7111.8
Tacoma.14,USA,Tacoma,5021.634782608696,-1647.6,7393.2
Tacoma.15,USA,Tacoma,6008.417391304348,3919,7742.4
Tacoma.16,USA,Tacoma,1656.208695652174,591.8,3053.2
Tacoma.17,USA,Tacoma,3666.513043478261,1558,5243
Tacoma.18,USA,Tacoma,5597.026086956522,2237,7244
Tacoma.19,USA,Tacoma,4430.608695652174,1291.6,6649.6
Tacoma.20,USA,Tacoma,2374.5652173913045,687.4,3828.8
Tacoma.21,USA,Tacoma,6077.313043478261,1718.8,7819.4
Tacoma.22,USA,Tacoma,6387.252173913043,-3000,8839.4
Tacoma.23,USA,Tacoma,-1157.2521739130434,-3000,4698
Tacoma.24,USA,Tacoma,4368.513043478261,1644.4,5517.8
Tacoma.25,USA,Tacoma,4849.478260869565,2250.8,6411.2
Tacoma.26,USA,Tacoma,1227.608695652174,-288.4,2576
Tacoma.27,USA,Tacoma,2713.3478260869565,868.6,4382.8
Tacoma.28,USA,Tacoma,6068.973913043478,2297.2,7700.2
Tacoma.29,USA,Tacoma,5355.460869565217,2436.4,7175.6
Tacoma.30,USA,Tacoma,4515.313043478261,1583.8,6239.8
Tacoma.31,USA,Tacoma,-2775.0434782608695,-3000,2174
Tacoma.32,USA,Tacoma,5195.113043478261,1942.4,6272.2
Tacoma.33,USA,Tacoma,5372.530434782609,2531.4,7186.8
Tacoma.34,USA,Tacoma,5140.052173913044,1887,7682.4
Tacoma.35,USA,Tacoma,1151.6869565217391,-3000,9265
Tacoma.36,USA,Tacoma,234.91304347826087,-3000,8878.2
