UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Wollongong.1,Australia,Wollongong,4954.991304347826,4187,5876
Wollongong.2,Australia,Wollongong,-29.747826086956525,-3000,3435.2
Wollongong.3,Australia,Wollongong,6518.130434782609,5199.4,7551
Wollongong.4,Australia,Wollongong,6714.765217391305,5315.4,7985.6
Wollongong.5,Australia,Wollongong,-667.8086956521739,-3000,4373.8
Wollongong.6,Australia,Wollongong,6227.6,2574.2,7858
Wollongong.7,Australia,Wollongong,5208.069565217391,3718.2,6502
Wollongong.8,Australia,Wollongong,5281.156521739131,-3000,7764.2
Wollongong.9,Australia,Wollongong,2491.2347826086957,-3000,5870.2
Wollongong.10,Australia,Wollongong,4169.304347826087,481.2,5787.4
Wollongong.11,Australia,Wollongong,8276.51304347826,5522,8814.8
Wollongong.12,Australia,Wollongong,8205.46956521739,7191.2,8948.2
Wollongong.13,Australia,Wollongong,8377.48695652174,6804.4,8898
Wollongong.14,Australia,Wollongong,5632.008695652174,3689.2,6711.2
Wollongong.15,Australia,Wollongong,4593.008695652174,2785.2,6336.6
Wollongong.16,Australia,Wollongong,7658.739130434783,5594,8320.6
Wollongong.17,Australia,Wollongong,8453.269565217392,5956.8,8923.6
Wollongong.18,Australia,Wollongong,8611.84347826087,7822.2,8975.4
Wollongong.19,Australia,Wollongong,8451.321739130435,7572,8945.6
Wollongong.20,Australia,Wollongong,5611.373913043479,4095.6,6572.8
Wollongong.21,Australia,Wollongong,7569.313043478261,6073.8,8330.8
Wollongong.22,Australia,Wollongong,7409.026086956522,4579,8424
Wollongong.23,Australia,Wollongong,8197.078260869564,5896.2,8986.4
Wollongong.24,Australia,Wollongong,7366.295652173913,4565.8,8410.8
Wollongong.25,Australia,Wollongong,8498.973913043477,6923.4,8947.8
Wollongong.26,Australia,Wollongong,5345.695652173913,4362.6,6374.4
Wollongong.27,Australia,Wollongong,7646.173913043478,5856,8413.8
Wollongong.28,Australia,Wollongong,7256.539130434783,5714,8078
Wollongong.29,Australia,Wollongong,6599,4496,7782.4
Wollongong.30,Australia,Wollongong,8159.6,5343.8,8979.8
Wollongong.31,Australia,Wollongong,4085.5304347826086,2516.8,5635.2
Wollongong.32,Australia,Wollongong,7055.173913043478,4188,8076.2
Wollongong.33,Australia,Wollongong,7683.2,5372,8455.6
Wollongong.34,Australia,Wollongong,8486.939130434783,5804,8901.8
Wollongong.35,Australia,Wollongong,8680.426086956522,3178.2,9385.2
