UID,Country,City,Mean_NDVI,Min_NDVI,Max_NDVI
Wuhan.1,China,Wuhan,3909.7739130434784,765,6474.8
Wuhan.2,China,Wuhan,4511.104347826087,1138.2,7481
Wuhan.3,China,Wuhan,3189.904347826087,711,5062.6
Wuhan.4,China,Wuhan,5228.573913043479,1562,7547.4
Wuhan.5,China,Wuhan,4258.008695652174,-108.6,7084.2
Wuhan.6,China,Wuhan,3465.417391304348,736.6,5170.6
Wuhan.7,China,Wuhan,2859.6173913043476,865.8,4629.2
Wuhan.8,China,Wuhan,3302.8521739130438,1095.2,5698.2
Wuhan.9,China,Wuhan,4574.721739130435,47,7620
Wuhan.10,China,Wuhan,2429.8434782608692,-610,4318.2
Wuhan.11,China,Wuhan,828.4173913043478,-578,1946.8
Wuhan.12,China,Wuhan,3294.1565217391303,297.2,5113.2
Wuhan.13,China,Wuhan,3609.095652173913,510.8,5886.8
Wuhan.14,China,Wuhan,5401.530434782609,1417.4,7825
Wuhan.15,China,Wuhan,4025.304347826087,603.8,6500.8
Wuhan.16,China,Wuhan,3717.573913043478,811.8,5994.2
Wuhan.17,China,Wuhan,3349.095652173913,841.4,5453.2
Wuhan.18,China,Wuhan,2010.8695652173913,133.4,3591.8
Wuhan.19,China,Wuhan,2022.304347826087,143,3145.2
Wuhan.20,China,Wuhan,2343.6782608695653,420.4,3776
Wuhan.21,China,Wuhan,2925.504347826087,504.8,4669
Wuhan.22,China,Wuhan,4563.313043478261,1426.8,6697.2
Wuhan.23,China,Wuhan,4321.121739130434,1209.8,6991.2
Wuhan.24,China,Wuhan,4071.3565217391306,937.2,6630.6
Wuhan.25,China,Wuhan,3099.478260869565,715.6,5781.4
Wuhan.26,China,Wuhan,3655.304347826087,749.4,5949.6
Wuhan.27,China,Wuhan,2768.6869565217394,360.6,4811.8
Wuhan.28,China,Wuhan,3163.817391304348,1141.4,4821
Wuhan.29,China,Wuhan,4520.4,409.6,7592
Wuhan.30,China,Wuhan,4009.365217391304,1448.8,6052.2
Wuhan.31,China,Wuhan,4096.782608695652,1010.6,6769.6
Wuhan.32,China,Wuhan,2730.3565217391306,349.6,5505.6
Wuhan.33,China,Wuhan,4999.469565217391,1242,7601.8
Wuhan.34,China,Wuhan,4826.565217391304,1698.6,7208.8
Wuhan.35,China,Wuhan,4105.704347826087,533.6,8112.4
Wuhan.36,China,Wuhan,4172.313043478261,1206.6,7013.8
Wuhan.37,China,Wuhan,5165.695652173913,959.2,7691.8
Wuhan.38,China,Wuhan,4460.721739130435,1308.2,7585.8
Wuhan.39,China,Wuhan,4997.008695652174,733.6,8189.8
