UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Berlin.1,Germany,Berlin,8.970833778381348,6.893787231445312,26.400001525878906,541,21.61003875732422
Berlin.2,Germany,Berlin,8.970833778381348,6.893787231445312,26.400001525878906,541,21.61003875732422
Berlin.3,Germany,Berlin,8.966666221618652,6.89803466796875,26.400001525878906,544,20.769506454467773
Berlin.4,Germany,Berlin,8.975000381469727,6.924085083007813,26.400001525878906,543,20.43162727355957
Berlin.5,Germany,Berlin,8.970833778381348,6.928710327148438,26.400001525878906,544,20.00089454650879
Berlin.6,Germany,Berlin,8.983333587646484,6.940734252929688,26.400001525878906,544,20.106477737426758
Berlin.7,Germany,Berlin,8.983333587646484,6.940734252929688,26.400001525878906,544,20.106477737426758
Berlin.8,Germany,Berlin,8.979166984558105,6.930284423828125,26.5,544,19.95850372314453
Berlin.9,Germany,Berlin,9.008333206176758,6.953018798828125,26.5,544,19.507850646972656
Berlin.10,Germany,Berlin,9.0625,6.958942260742187,26.5,540,20.202617645263672
Berlin.11,Germany,Berlin,9.0625,6.958942260742187,26.5,540,20.202617645263672
Berlin.12,Germany,Berlin,9.091667175292969,6.954652709960937,26.5,541,20.06944465637207
Berlin.13,Germany,Berlin,9.120833396911621,6.9720697021484375,26.5,545,20.694021224975586
Berlin.14,Germany,Berlin,9.120833396911621,6.9720697021484375,26.5,545,20.694021224975586
Berlin.15,Germany,Berlin,9.216666221618652,6.98831298828125,26.5,550,20.212202072143555
Berlin.16,Germany,Berlin,9.258333206176758,6.969114990234375,26.299999237060547,552,20.123491287231445
Berlin.17,Germany,Berlin,9.291666984558105,6.974135131835937,26.19999885559082,555,20.121004104614258
Berlin.18,Germany,Berlin,9.291666984558105,6.974135131835937,26.19999885559082,555,20.121004104614258
Berlin.19,Germany,Berlin,9.391666412353516,6.976253051757812,26.200000762939453,557,20.117387771606445
Berlin.20,Germany,Berlin,9.362500190734863,6.979291381835938,26.19999885559082,556,20.230676651000977
Berlin.21,Germany,Berlin,9.4375,6.971700439453125,26.200000762939453,557,20.257593154907227
Berlin.22,Germany,Berlin,9.487500190734863,6.97681640625,26.100000381469727,560,20.542177200317383
Berlin.23,Germany,Berlin,9.512499809265137,6.988306274414063,26.100000381469727,562,20.14780044555664
Berlin.25,Germany,Berlin,9.595832824707031,6.9773486328125,26,564,20.15955924987793
Berlin.26,Germany,Berlin,9.558333396911621,6.975438232421875,25.899999618530273,570,19.88381576538086
Berlin.27,Germany,Berlin,9.579166412353516,6.98434814453125,25.899999618530273,575,20.208505630493164
Berlin.28,Germany,Berlin,9.579166412353516,6.98434814453125,25.899999618530273,575,20.208505630493164
Berlin.29,Germany,Berlin,9.733333587646484,6.9838232421875,25.799999237060547,571,18.751323699951172
Berlin.30,Germany,Berlin,9.729166984558105,6.988251953125,25.799999237060547,572,19.480361938476562
Berlin.31,Germany,Berlin,9.766666412353516,6.973271484375,25.700000762939453,575,18.043304443359375
Berlin.32,Germany,Berlin,9.766666412353516,6.973271484375,25.700000762939453,576,18.72462272644043
Berlin.33,Germany,Berlin,9.8125,6.969971923828125,25.600000381469727,575,18.190101623535156
Berlin.34,Germany,Berlin,9.850000381469727,6.954854125976563,25.5,579,18.2253360748291
Berlin.35,Germany,Berlin,9.8125,6.969971923828125,25.600000381469727,575,18.190101623535156
