UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Christchurch.1,New Zealand,Christchurch,12.362500190734863,3.916522216796875,21.100000381469727,878,32.12804412841797
Christchurch.2,New Zealand,Christchurch,12.362500190734863,3.916522216796875,21.100000381469727,878,32.12804412841797
Christchurch.3,New Zealand,Christchurch,12.362500190734863,3.916522216796875,21.100000381469727,878,32.12804412841797
Christchurch.4,New Zealand,Christchurch,12.362500190734863,3.956130065917969,21.200000762939453,802,39.144439697265625
Christchurch.5,New Zealand,Christchurch,12.362500190734863,3.956130065917969,21.200000762939453,802,39.144439697265625
Christchurch.6,New Zealand,Christchurch,12.362500190734863,3.956130065917969,21.200000762939453,802,39.144439697265625
Christchurch.7,New Zealand,Christchurch,12.379166603088379,3.9827728271484375,21.299999237060547,813,44.995365142822266
Christchurch.8,New Zealand,Christchurch,12.379166603088379,3.9827728271484375,21.299999237060547,813,44.995365142822266
Christchurch.9,New Zealand,Christchurch,12.379166603088379,3.9827728271484375,21.299999237060547,813,44.995365142822266
Christchurch.10,New Zealand,Christchurch,12.366666793823242,3.9988253784179686,21.399999618530273,683,22.469676971435547
Christchurch.11,New Zealand,Christchurch,12.366666793823242,3.9988253784179686,21.399999618530273,683,22.469676971435547
Christchurch.12,New Zealand,Christchurch,12.366666793823242,3.9988253784179686,21.399999618530273,683,22.469676971435547
Christchurch.13,New Zealand,Christchurch,12.358333587646484,4.032866821289063,21.399999618530273,725,34.417198181152344
Christchurch.14,New Zealand,Christchurch,12.358333587646484,4.032866821289063,21.399999618530273,725,34.417198181152344
Christchurch.15,New Zealand,Christchurch,12.324999809265137,4.017659912109375,21.400001525878906,737,19.52023696899414
Christchurch.16,New Zealand,Christchurch,12.291666984558105,4.027283935546875,21.400001525878906,789,29.18378448486328
Christchurch.17,New Zealand,Christchurch,12.229166984558105,3.9939419555664064,21.200000762939453,783,35.09452438354492
Christchurch.18,New Zealand,Christchurch,12.091667175292969,3.955079345703125,21,747,26.396533966064453
Christchurch.19,New Zealand,Christchurch,11.987500190734863,3.9258538818359376,20.899999618530273,714,12.715656280517578
Christchurch.20,New Zealand,Christchurch,11.824999809265137,3.8762387084960936,20.5,670,14.032857894897461
Christchurch.21,New Zealand,Christchurch,11.816666603088379,3.8735897827148436,20.5,682,13.888413429260254
Christchurch.22,New Zealand,Christchurch,11.824999809265137,3.8762387084960936,20.5,670,14.032857894897461
Christchurch.23,New Zealand,Christchurch,11.854166984558105,3.8691940307617188,20.399999618530273,703,15.848746299743652
Christchurch.24,New Zealand,Christchurch,11.83750057220459,3.848738098144531,20.299999237060547,670,20.708351135253906
Christchurch.25,New Zealand,Christchurch,11.845833778381348,3.8571337890625,20.299999237060547,675,14.786321640014648
Christchurch.26,New Zealand,Christchurch,11.845833778381348,3.8571337890625,20.299999237060547,675,14.786321640014648
Christchurch.27,New Zealand,Christchurch,11.845833778381348,3.8571337890625,20.299999237060547,675,14.786321640014648
Christchurch.28,New Zealand,Christchurch,11.875,3.8893502807617186,20.600000381469727,678,15.188567161560059
Christchurch.29,New Zealand,Christchurch,11.841666221618652,3.9184780883789063,20.700000762939453,658,15.68539810180664
Christchurch.30,New Zealand,Christchurch,11.833333015441895,3.9156640625,20.700000762939453,690,16.72484016418457
Christchurch.31,New Zealand,Christchurch,11.820833206176758,3.915787353515625,20.899999618530273,677,14.916949272155762
Christchurch.32,New Zealand,Christchurch,11.791666984558105,3.938033142089844,21.100000381469727,688,16.317808151245117
Christchurch.33,New Zealand,Christchurch,11.808333396911621,3.9278048706054687,21,699,15.234559059143066
Christchurch.34,New Zealand,Christchurch,11.800000190734863,3.9221978759765626,21,690,18.31679344177246
Christchurch.35,New Zealand,Christchurch,11.824999809265137,3.9230380249023438,20.899999618530273,692,17.897111892700195
Christchurch.36,New Zealand,Christchurch,11.741666793823242,3.9047076416015627,21,658,14.844830513000488
Christchurch.37,New Zealand,Christchurch,11.729166984558105,3.8821536254882814,20.900001525878906,677,15.390090942382812
Christchurch.38,New Zealand,Christchurch,11.729166984558105,3.8821536254882814,20.900001525878906,677,15.390090942382812
Christchurch.39,New Zealand,Christchurch,11.712499618530273,3.89370849609375,20.900001525878906,692,11.861510276794434
