UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Helsinki.1,Finland,Helsinki,5.200000286102295,8.147420043945312,28.900001525878906,649,29.195653915405273
Helsinki.2,Finland,Helsinki,5.200000286102295,8.147420043945312,28.900001525878906,649,29.195653915405273
Helsinki.3,Finland,Helsinki,5.3125,8.110182495117188,28.80000114440918,651,28.939987182617188
Helsinki.4,Finland,Helsinki,5.362500190734863,8.077919311523438,28.700000762939453,645,29.266521453857422
Helsinki.5,Finland,Helsinki,5.429166793823242,8.063877563476563,28.600000381469727,639,29.557167053222656
Helsinki.6,Finland,Helsinki,5.491666793823242,8.023851928710938,28.5,632,29.626033782958984
Helsinki.7,Finland,Helsinki,NA,NA,NA,NA,NA
Helsinki.8,Finland,Helsinki,5.433333396911621,8.0533544921875,28.600000381469727,632,29.23996353149414
Helsinki.9,Finland,Helsinki,NA,NA,NA,NA,NA
Helsinki.10,Finland,Helsinki,5.2833333015441895,8.190441284179688,29.099998474121094,646,29.25005340576172
Helsinki.11,Finland,Helsinki,5.2166666984558105,8.226573486328125,29.299999237060547,648,29.42984390258789
Helsinki.12,Finland,Helsinki,5.170833587646484,8.23359130859375,29.5,648,29.67391014099121
Helsinki.13,Finland,Helsinki,5.133333206176758,8.259273681640625,29.700000762939453,652,29.68913459777832
Helsinki.14,Finland,Helsinki,5.112499713897705,8.281088256835938,29.799999237060547,652,29.68913459777832
Helsinki.15,Finland,Helsinki,5.058333396911621,8.28401611328125,29.899999618530273,653,29.364816665649414
Helsinki.16,Finland,Helsinki,5.045833110809326,8.276622314453125,29.899999618530273,653,29.384971618652344
Helsinki.17,Finland,Helsinki,4.962500095367432,8.287315673828125,30.200000762939453,654,29.26068878173828
Helsinki.18,Finland,Helsinki,4.9041666984558105,8.293739624023438,30.200000762939453,658,29.10938262939453
Helsinki.19,Finland,Helsinki,4.858333110809326,8.277072143554687,30.299999237060547,661,29.045621871948242
Helsinki.20,Finland,Helsinki,4.808333396911621,8.274408569335938,30.399999618530273,661,29.382001876831055
Helsinki.21,Finland,Helsinki,4.7791666984558105,8.268545532226563,30.399999618530273,664,29.745668411254883
Helsinki.22,Finland,Helsinki,4.770833492279053,8.256387329101562,30.299999237060547,663,29.272050857543945
Helsinki.23,Finland,Helsinki,4.724999904632568,8.245453491210938,30.399999618530273,665,28.972759246826172
Helsinki.24,Finland,Helsinki,4.733333110809326,8.23717529296875,30.399999618530273,664,28.546567916870117
Helsinki.25,Finland,Helsinki,4.695833206176758,8.25908447265625,30.599998474121094,666,28.75270652770996
Helsinki.26,Finland,Helsinki,4.666666507720947,8.287403564453125,30.700000762939453,667,28.87759017944336
Helsinki.27,Finland,Helsinki,4.679166793823242,8.3021484375,30.799999237060547,667,28.828384399414062
Helsinki.28,Finland,Helsinki,4.683333396911621,8.30247314453125,30.799999237060547,669,28.809114456176758
Helsinki.29,Finland,Helsinki,4.675000190734863,8.326832275390625,31,667,28.808679580688477
Helsinki.30,Finland,Helsinki,4.641666412353516,8.3403955078125,31.100000381469727,665,28.59568977355957
Helsinki.31,Finland,Helsinki,4.633333206176758,8.345285034179687,31.100000381469727,666,28.722976684570312
Helsinki.32,Finland,Helsinki,4.633333206176758,8.345285034179687,31.100000381469727,666,28.722976684570312
Helsinki.33,Finland,Helsinki,4.616666793823242,8.361011352539062,31.200000762939453,671,28.922718048095703
Helsinki.34,Finland,Helsinki,4.612500190734863,8.365054931640625,31.30000114440918,670,28.68563461303711
Helsinki.35,Finland,Helsinki,4.637499809265137,8.391097412109374,31.30000114440918,672,28.593605041503906
Helsinki.36,Finland,Helsinki,4.637499809265137,8.391097412109374,31.30000114440918,672,28.593605041503906
Helsinki.37,Finland,Helsinki,4.637499809265137,8.395077514648438,31.5,671,28.610549926757812
Helsinki.38,Finland,Helsinki,4.608333110809326,8.404188232421875,31.5,673,28.44866943359375
Helsinki.39,Finland,Helsinki,4.5958333015441895,8.399281616210937,31.5,672,28.64249038696289
Helsinki.40,Finland,Helsinki,4.608333110809326,8.404188232421875,31.5,673,28.44866943359375
