UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Munich.1,Germany,Munich,8.570833206176758,6.903472900390625,26.899999618530273,930,32.706417083740234
Munich.2,Germany,Munich,8.570833206176758,6.903472900390625,26.899999618530273,930,32.706417083740234
Munich.3,Germany,Munich,8.579166412353516,6.897808227539063,26.899999618530273,936,32.7071647644043
Munich.4,Germany,Munich,8.554166793823242,6.865475463867187,26.799999237060547,935,32.823890686035156
Munich.5,Germany,Munich,8.537500381469727,6.861954345703125,26.799999237060547,935,32.80609893798828
Munich.6,Germany,Munich,8.537500381469727,6.861954345703125,26.799999237060547,935,32.80609893798828
Munich.7,Germany,Munich,8.508333206176758,6.851337890625,26.799999237060547,937,33.05510711669922
Munich.8,Germany,Munich,8.508333206176758,6.851337890625,26.799999237060547,937,33.05510711669922
Munich.9,Germany,Munich,8.487500190734863,6.835672607421875,26.799999237060547,936,33.1714973449707
Munich.10,Germany,Munich,8.487500190734863,6.835672607421875,26.799999237060547,936,33.1714973449707
Munich.11,Germany,Munich,8.479166984558105,6.834918823242187,26.69999885559082,943,33.39778518676758
Munich.12,Germany,Munich,8.479166984558105,6.834918823242187,26.69999885559082,943,33.39778518676758
Munich.13,Germany,Munich,8.495833396911621,6.844655151367188,26.799999237060547,940,33.342586517333984
Munich.14,Germany,Munich,8.495833396911621,6.844655151367188,26.799999237060547,940,33.342586517333984
Munich.15,Germany,Munich,8.487500190734863,6.830484008789062,26.69999885559082,949,33.5418815612793
Munich.16,Germany,Munich,8.524999618530273,6.850928955078125,26.799999237060547,948,33.638282775878906
Munich.17,Germany,Munich,8.524999618530273,6.850928955078125,26.799999237060547,948,33.638282775878906
Munich.18,Germany,Munich,8.524999618530273,6.850928955078125,26.799999237060547,947,33.7175407409668
Munich.19,Germany,Munich,8.524999618530273,6.850928955078125,26.799999237060547,947,33.7175407409668
Munich.20,Germany,Munich,8.512499809265137,6.846104736328125,26.69999885559082,951,33.86076736450195
Munich.21,Germany,Munich,8.524999618530273,6.855869750976563,26.799999237060547,958,34.18974685668945
Munich.22,Germany,Munich,8.541666984558105,6.849281005859375,26.799999237060547,959,34.31929016113281
Munich.23,Germany,Munich,8.5625,6.831382446289062,26.69999885559082,961,34.421913146972656
Munich.24,Germany,Munich,8.608333587646484,6.85127197265625,26.799999237060547,963,34.24557876586914
Munich.25,Germany,Munich,8.608333587646484,6.85127197265625,26.799999237060547,963,34.24557876586914
Munich.26,Germany,Munich,8.612500190734863,6.851414184570313,26.799999237060547,967,34.54073715209961
Munich.27,Germany,Munich,8.612500190734863,6.851414184570313,26.799999237060547,967,34.54073715209961
Munich.28,Germany,Munich,8.658332824707031,6.845198364257812,26.700000762939453,976,34.789127349853516
Munich.29,Germany,Munich,8.658332824707031,6.845198364257812,26.700000762939453,976,34.789127349853516
Munich.30,Germany,Munich,8.670833587646484,6.845484619140625,26.700000762939453,974,34.5824089050293
Munich.31,Germany,Munich,8.670833587646484,6.845484619140625,26.700000762939453,974,34.5824089050293
Munich.32,Germany,Munich,8.679166793823242,6.826001586914063,26.600000381469727,976,34.82765579223633
Munich.33,Germany,Munich,8.683333396911621,6.828228149414063,26.600000381469727,979,34.68429183959961
Munich.34,Germany,Munich,8.683333396911621,6.828228149414063,26.600000381469727,979,34.68429183959961
Munich.35,Germany,Munich,8.712499618530273,6.83467529296875,26.600000381469727,978,34.65402603149414
Munich.36,Germany,Munich,8.791666984558105,6.843571166992188,26.600000381469727,974,34.62910079956055
Munich.37,Germany,Munich,8.887499809265137,6.854531860351562,26.600000381469727,968,34.4456901550293
Munich.38,Germany,Munich,8.987500190734863,6.859171752929687,26.5,962,34.496253967285156
Munich.39,Germany,Munich,8.987500190734863,6.859171752929687,26.5,962,34.496253967285156
Munich.40,Germany,Munich,9.145833015441895,6.888510131835938,26.600000381469727,959,34.18145751953125
Munich.41,Germany,Munich,9.145833015441895,6.888510131835938,26.600000381469727,959,34.18145751953125
Munich.42,Germany,Munich,9.241666793823242,6.899566650390625,26.600000381469727,956,34.31946563720703
Munich.43,Germany,Munich,9.241666793823242,6.899566650390625,26.600000381469727,956,34.31946563720703
Munich.44,Germany,Munich,9.333333015441895,6.917249145507813,26.600000381469727,950,34.22285842895508
Munich.45,Germany,Munich,9.379166603088379,6.933726806640625,26.599998474121094,950,34.22285842895508
Munich.46,Germany,Munich,9.445833206176758,6.968678588867188,26.799999237060547,948,34.10795211791992
Munich.47,Germany,Munich,9.454166412353516,6.9553594970703125,26.799999237060547,954,33.993221282958984
Munich.48,Germany,Munich,9.470833778381348,6.963719482421875,26.799999237060547,955,33.82985305786133
Munich.49,Germany,Munich,9.470833778381348,6.963719482421875,26.799999237060547,955,33.82985305786133
Munich.50,Germany,Munich,9.483333587646484,6.965086059570313,26.799999237060547,955,33.82985305786133
Munich.51,Germany,Munich,9.483333587646484,6.965086059570313,26.799999237060547,955,33.82985305786133
