UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Rochester.1,USA,Rochester,9.300000190734863,9.877085571289063,37.29999923706055,865,17.624095916748047
Rochester.2,USA,Rochester,9.300000190734863,9.877085571289063,37.29999923706055,865,17.624095916748047
Rochester.3,USA,Rochester,9.295833587646484,9.879190063476562,37.29999923706055,863,17.469715118408203
Rochester.4,USA,Rochester,9.295833587646484,9.879190063476562,37.29999923706055,863,17.469715118408203
Rochester.5,USA,Rochester,9.295833587646484,9.879190063476562,37.29999923706055,863,17.469715118408203
Rochester.6,USA,Rochester,9.254166603088379,9.886824951171874,37.29999923706055,861,17.63355827331543
Rochester.7,USA,Rochester,9.241666793823242,9.887155151367187,37.29999923706055,861,17.63355827331543
Rochester.8,USA,Rochester,9.241666793823242,9.887155151367187,37.29999923706055,861,17.63355827331543
Rochester.9,USA,Rochester,9.133333206176758,9.846880493164063,37.099998474121094,858,17.352619171142578
Rochester.10,USA,Rochester,9.133333206176758,9.846880493164063,37.099998474121094,858,17.352619171142578
Rochester.11,USA,Rochester,9.054166793823242,9.800984497070312,36.900001525878906,851,16.889711380004883
Rochester.12,USA,Rochester,9.008333206176758,9.811932373046876,37,851,17.07600975036621
Rochester.13,USA,Rochester,9.008333206176758,9.811932373046876,37,851,17.07600975036621
Rochester.14,USA,Rochester,8.941666603088379,9.778404541015625,36.900001525878906,850,16.92362403869629
Rochester.15,USA,Rochester,8.941666603088379,9.778404541015625,36.900001525878906,850,16.92362403869629
Rochester.16,USA,Rochester,8.879166603088379,9.7604827880859375,36.79999923706055,846,17.279172897338867
Rochester.26,USA,Rochester,8.837499618530273,9.732960205078125,36.70000076293945,844,17.61446189880371
Rochester.27,USA,Rochester,8.837499618530273,9.732960205078125,36.70000076293945,844,17.61446189880371
Rochester.28,USA,Rochester,8.766666412353516,9.719879760742188,36.69999694824219,840,17.61203384399414
Rochester.29,USA,Rochester,8.725000381469727,9.716937255859374,36.599998474121094,842,17.842802047729492
Rochester.30,USA,Rochester,8.725000381469727,9.716937255859374,36.599998474121094,842,17.842802047729492
Rochester.31,USA,Rochester,8.662500381469727,9.6832122802734375,36.5,838,18.37596321105957
Rochester.32,USA,Rochester,8.629166603088379,9.6781494140625,36.5,838,18.601362228393555
Rochester.33,USA,Rochester,8.612500190734863,9.6680615234375,36.5,836,19.046113967895508
Rochester.34,USA,Rochester,8.612500190734863,9.6680615234375,36.5,836,19.046113967895508
Rochester.35,USA,Rochester,8.579166412353516,9.66529541015625,36.5,837,19.296592712402344
Rochester.36,USA,Rochester,8.579166412353516,9.66529541015625,36.5,837,19.296592712402344
Rochester.37,USA,Rochester,8.591666221618652,9.640865478515625,36.5,832,19.32749366760254
Rochester.38,USA,Rochester,8.591666221618652,9.640865478515625,36.5,832,19.32749366760254
Rochester.39,USA,Rochester,8.591666221618652,9.640865478515625,36.5,832,19.32749366760254
Rochester.40,USA,Rochester,8.5625,9.649873046875,36.5,832,19.4695987701416
Rochester.41,USA,Rochester,8.533332824707031,9.661058959960938,36.5,832,19.544963836669922
Rochester.42,USA,Rochester,8.533332824707031,9.661058959960938,36.5,832,19.544963836669922
Rochester.43,USA,Rochester,8.475000381469727,9.631093139648437,36.400001525878906,831,19.67884063720703
Rochester.44,USA,Rochester,8.449999809265137,9.623479614257812,36.29999923706055,825,20.03557777404785
Rochester.45,USA,Rochester,8.449999809265137,9.623479614257812,36.29999923706055,825,20.03557777404785
Rochester.46,USA,Rochester,8.429166793823242,9.609594116210937,36.400001525878906,824,20.713790893554688
Rochester.47,USA,Rochester,8.412500381469727,9.613180541992188,36.400001525878906,825,20.560314178466797
Rochester.48,USA,Rochester,8.408332824707031,9.622200317382813,36.400001525878906,825,20.60570526123047
Rochester.49,USA,Rochester,8.416666984558105,9.633165893554688,36.5,827,20.712804794311523
Rochester.50,USA,Rochester,8.383333206176758,9.623109741210937,36.400001525878906,828,21.118974685668945
