UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Rockford.1,USA,Rockford,9.074999809265137,10.933861083984375,41.29999923706055,906,36.78546142578125
Rockford.2,USA,Rockford,9.074999809265137,10.933861083984375,41.29999923706055,906,36.78546142578125
Rockford.3,USA,Rockford,9.074999809265137,10.933861083984375,41.29999923706055,906,36.78546142578125
Rockford.4,USA,Rockford,9.045833587646484,10.924044189453125,41.29999923706055,909,36.99510192871094
Rockford.5,USA,Rockford,9.045833587646484,10.924044189453125,41.29999923706055,909,36.99510192871094
Rockford.6,USA,Rockford,8.966666221618652,10.896878662109375,41.20000076293945,906,36.78546142578125
Rockford.7,USA,Rockford,9,10.923099365234375,41.29999923706055,909,36.99510192871094
Rockford.8,USA,Rockford,8.958333015441895,10.892008056640625,41.20000076293945,912,36.732818603515625
Rockford.9,USA,Rockford,8.941666603088379,10.88883544921875,41.20000076293945,915,37.089847564697266
Rockford.10,USA,Rockford,8.941666603088379,10.88883544921875,41.20000076293945,915,37.089847564697266
Rockford.11,USA,Rockford,8.908333778381348,10.87124755859375,41.099998474121094,912,36.93678665161133
Rockford.12,USA,Rockford,8.837499618530273,10.853970947265625,41.099998474121094,912,36.31722640991211
Rockford.13,USA,Rockford,8.883333206176758,10.873912353515625,41.20000076293945,914,36.5067138671875
Rockford.14,USA,Rockford,8.824999809265137,10.85437744140625,41.099998474121094,916,36.72932434082031
Rockford.15,USA,Rockford,8.824999809265137,10.85437744140625,41.099998474121094,916,36.72932434082031
Rockford.16,USA,Rockford,8.804166793823242,10.84501220703125,41.099998474121094,918,36.551780700683594
Rockford.17,USA,Rockford,8.770833015441895,10.81147216796875,41,920,36.51395034790039
Rockford.18,USA,Rockford,8.770833015441895,10.81147216796875,41,920,36.51395034790039
Rockford.19,USA,Rockford,8.754166603088379,10.84000244140625,41.099998474121094,919,36.578468322753906
Rockford.20,USA,Rockford,8.770833015441895,10.8073095703125,40.900001525878906,919,36.446102142333984
Rockford.21,USA,Rockford,8.779166221618652,10.82873779296875,41,914,36.29701614379883
Rockford.22,USA,Rockford,8.779166221618652,10.82873779296875,41,914,36.29701614379883
Rockford.23,USA,Rockford,8.75,10.826104736328125,41,914,36.45649719238281
Rockford.24,USA,Rockford,8.762499809265137,10.831773681640625,41,917,36.43724822998047
Rockford.25,USA,Rockford,8.737500190734863,10.819219970703125,40.900001525878906,915,36.46855163574219
Rockford.26,USA,Rockford,8.770833015441895,10.815697021484375,40.900001525878906,914,36.435550689697266
Rockford.27,USA,Rockford,8.766666412353516,10.808526611328125,40.79999923706055,917,36.49132537841797
Rockford.28,USA,Rockford,8.766666412353516,10.821260986328125,40.900001525878906,920,36.24883270263672
Rockford.29,USA,Rockford,8.741666793823242,10.817049560546875,40.79999923706055,920,36.236358642578125
Rockford.30,USA,Rockford,8.729166984558105,10.83541015625,41,921,36.13844299316406
Rockford.31,USA,Rockford,8.729166984558105,10.83541015625,41,921,36.13844299316406
Rockford.32,USA,Rockford,8.720833778381348,10.826849365234375,40.900001525878906,922,36.11100769042969
Rockford.33,USA,Rockford,8.720833778381348,10.826849365234375,40.900001525878906,922,36.11100769042969
Rockford.34,USA,Rockford,8.720833778381348,10.826849365234375,40.900001525878906,922,36.11100769042969
Rockford.35,USA,Rockford,8.712499618530273,10.821572265625,40.900001525878906,924,36.183509826660156
Rockford.36,USA,Rockford,8.712499618530273,10.821572265625,40.900001525878906,924,36.183509826660156
Rockford.37,USA,Rockford,8.708333015441895,10.81578857421875,40.900001525878906,924,36.183509826660156
Rockford.38,USA,Rockford,8.708333015441895,10.81578857421875,40.900001525878906,924,36.183509826660156
Rockford.39,USA,Rockford,8.691666603088379,10.7987548828125,40.79999923706055,926,36.192108154296875
Rockford.40,USA,Rockford,8.712499618530273,10.821572265625,40.900001525878906,924,36.183509826660156
