UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Sacramento.1,USA,Sacramento,16.58333396911621,5.987423706054687,29.899999618530273,466,90.00069427490234
Sacramento.2,USA,Sacramento,16.587499618530273,5.982669067382813,29.700000762939453,465,89.41602325439453
Sacramento.3,USA,Sacramento,16.587499618530273,5.982669067382813,29.700000762939453,465,89.41602325439453
Sacramento.4,USA,Sacramento,16.579166412353516,5.987504272460938,29.600000381469727,468,89.42366027832031
Sacramento.5,USA,Sacramento,16.579166412353516,5.987504272460938,29.600000381469727,468,89.42366027832031
Sacramento.6,USA,Sacramento,16.5625,5.992045288085937,29.700000762939453,465,89.41602325439453
Sacramento.7,USA,Sacramento,16.570833206176758,6.014091796875,29.799999237060547,468,89.156402587890625
Sacramento.8,USA,Sacramento,16.570833206176758,6.014091796875,29.799999237060547,468,89.156402587890625
Sacramento.9,USA,Sacramento,16.570833206176758,6.014091796875,29.799999237060547,468,89.156402587890625
Sacramento.10,USA,Sacramento,16.53333282470703,6.032349853515625,29.899999618530273,473,89.3495101928711
Sacramento.11,USA,Sacramento,16.549999237060547,6.03301513671875,29.899999618530273,466,89.83502960205078
Sacramento.12,USA,Sacramento,16.53333282470703,6.032349853515625,29.899999618530273,473,89.3495101928711
Sacramento.13,USA,Sacramento,16.53333282470703,6.032349853515625,29.899999618530273,473,89.3495101928711
Sacramento.14,USA,Sacramento,16.53333282470703,6.054762573242187,30,470,89.60035705566406
Sacramento.15,USA,Sacramento,16.52083396911621,6.03973388671875,30,467,90.08951568603516
Sacramento.16,USA,Sacramento,16.52916717529297,6.051763916015625,30,467,90.08951568603516
Sacramento.17,USA,Sacramento,16.504167556762695,6.057544555664062,30,466,89.98796844482422
Sacramento.18,USA,Sacramento,16.504167556762695,6.057544555664062,30,466,89.98796844482422
Sacramento.19,USA,Sacramento,16.445833206176758,6.041013793945313,29.89999771118164,463,90.51545715332031
Sacramento.20,USA,Sacramento,16.379167556762695,6.025040893554688,29.899999618530273,463,90.51545715332031
Sacramento.21,USA,Sacramento,16.316665649414062,5.987157592773437,29.69999885559082,463,90.51545715332031
Sacramento.22,USA,Sacramento,16.537500381469727,6.086763916015625,30.099998474121094,468,89.3537368774414
Sacramento.23,USA,Sacramento,16.504165649414062,6.099085693359375,30.19999885559082,467,89.61326599121094
Sacramento.24,USA,Sacramento,16.5625,6.174254760742188,30.5,467,89.256011962890625
Sacramento.25,USA,Sacramento,16.495834350585938,6.17960205078125,30.500001907348633,466,89.23992919921875
Sacramento.26,USA,Sacramento,16.5,6.205166625976562,30.700000762939453,468,88.89472961425781
Sacramento.27,USA,Sacramento,16.40416717529297,6.178130493164063,30.5,466,89.23350524902344
Sacramento.28,USA,Sacramento,16.579166412353516,6.236529541015625,30.80000114440918,469,88.63626861572266
Sacramento.29,USA,Sacramento,16.65833282470703,6.267732543945312,30.899999618530273,470,88.64566802978516
Sacramento.30,USA,Sacramento,16.579166412353516,6.236529541015625,30.80000114440918,469,88.63626861572266
Sacramento.31,USA,Sacramento,16.579166412353516,6.236529541015625,30.80000114440918,469,88.63626861572266
Sacramento.32,USA,Sacramento,16.545833587646484,6.249562377929688,30.900001525878906,471,88.39418029785156
Sacramento.33,USA,Sacramento,16.487499237060547,6.255802001953125,31,469,88.5660171508789
Sacramento.34,USA,Sacramento,16.487499237060547,6.255802001953125,31,469,88.5660171508789
Sacramento.35,USA,Sacramento,16.487499237060547,6.255802001953125,31,469,88.5660171508789
Sacramento.36,USA,Sacramento,16.487499237060547,6.255802001953125,31,469,88.5660171508789
Sacramento.37,USA,Sacramento,16.212499618530273,6.156043701171875,30.499998092651367,463,89.64592742919922
Sacramento.38,USA,Sacramento,16.212499618530273,6.156043701171875,30.499998092651367,463,89.64592742919922
Sacramento.39,USA,Sacramento,16.16666603088379,6.106417236328125,30.399999618530273,463,89.3736801147461
Sacramento.40,USA,Sacramento,16.16666603088379,6.106417236328125,30.399999618530273,463,89.3736801147461
Sacramento.41,USA,Sacramento,16.054166793823242,6.009744262695312,29.89999771118164,460,89.6333236694336
