UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Anchorage.1,USA,Anchorage,1.7708333730697632,9.236155395507813,32.70000076293945,868,40.13454055786133
Anchorage.2,USA,Anchorage,1.6083333492279053,9.576530151367187,33.900001525878906,869,39.7896842956543
Anchorage.3,USA,Anchorage,NA,NA,NA,NA,NA
Anchorage.4,USA,Anchorage,2.1708333492279053,9.384839477539062,32.900001525878906,797,40.9774169921875
Anchorage.5,USA,Anchorage,1.941666603088379,9.439757080078126,33.29999923706055,891,41.651885986328125
Anchorage.6,USA,Anchorage,0.9416666030883789,7.923493041992187,28.200000762939453,753,38.336673736572266
Anchorage.7,USA,Anchorage,2.625,9.102359619140625,31.700000762939453,938,41.465572357177734
Anchorage.8,USA,Anchorage,2.616666793823242,9.33773681640625,32.5,885,40.21528244018555
Anchorage.9,USA,Anchorage,1.962499976158142,9.206769409179687,32.599998474121094,739,41.56392288208008
Anchorage.10,USA,Anchorage,1.7083333730697632,9.203404541015624,32.5,887,40.24807357788086
Anchorage.11,USA,Anchorage,2.1416666507720947,9.085823974609376,32,799,41.30744552612305
Anchorage.12,USA,Anchorage,2,8.708460083007813,30.80000114440918,813,41.05242156982422
Anchorage.13,USA,Anchorage,1.8541666269302368,9.420636596679687,33.29999923706055,889,40.80010986328125
Anchorage.14,USA,Anchorage,NA,NA,NA,NA,NA
Anchorage.15,USA,Anchorage,2.0791666507720947,8.953832397460937,31.600000381469727,780,40.40863037109375
Anchorage.16,USA,Anchorage,2.5166666507720947,9.346641235351562,32.5,858,41.1046257019043
Anchorage.17,USA,Anchorage,0.5291666984558105,7.733059692382812,27.700000762939453,717,38.355384826660156
Anchorage.18,USA,Anchorage,2.3499999046325684,9.344638671875,32.69999694824219,836,39.990028381347656
Anchorage.19,USA,Anchorage,2.1666667461395264,9.071116333007813,31.899999618530273,804,40.449073791503906
Anchorage.20,USA,Anchorage,2.0875000953674316,8.524273681640626,30,826,41.70363998413086
Anchorage.21,USA,Anchorage,2.6083333492279053,9.189862060546876,31.899999618530273,926,40.6421012878418
Anchorage.22,USA,Anchorage,2,9.410680541992187,33.20000076293945,898,41.49832534790039
Anchorage.23,USA,Anchorage,NA,NA,NA,NA,NA
Anchorage.24,USA,Anchorage,2.0625,9.39359375,33,912,41.08720397949219
Anchorage.25,USA,Anchorage,2.5874998569488525,9.089607543945313,31.700000762939453,965,38.7397575378418
Anchorage.26,USA,Anchorage,-0.9041666388511658,7.052802734375,25.100000381469727,763,35.416263580322266
Anchorage.27,USA,Anchorage,1.804166555404663,9.236574096679687,32.599998474121094,915,41.195770263671875
Anchorage.28,USA,Anchorage,1.695833444595337,9.216473999023437,32.5,885,39.62841796875
Anchorage.29,USA,Anchorage,0.1499999761581421,7.423335571289062,26.700000762939453,770,36.38322448730469
Anchorage.30,USA,Anchorage,1.5750000476837158,8.355360107421875,29.599998474121094,776,40.67253875732422
Anchorage.31,USA,Anchorage,0.32500001788139343,7.682314453125,27.5,728,39.135353088378906
Anchorage.32,USA,Anchorage,2.387500047683716,9.129202270507813,32,854,41.31702423095703
Anchorage.33,USA,Anchorage,1.7541667222976685,9.411585083007813,33.30000305175781,837,40.27705001831055
Anchorage.34,USA,Anchorage,2.629166603088379,9.362120361328126,32.599998474121094,875,40.518375396728516
Anchorage.35,USA,Anchorage,1.5291666984558105,8.51200927734375,30.299999237060547,724,40.783592224121094
Anchorage.36,USA,Anchorage,0.7124999761581421,7.736751708984375,27.700000762939453,755,38.279361724853516
Anchorage.37,USA,Anchorage,0.5249999761581421,7.855441284179688,28,727,39.46336364746094
Anchorage.38,USA,Anchorage,2.1875,8.95902587890625,31.5,834,41.52860641479492
Anchorage.39,USA,Anchorage,2.0958333015441895,9.2023828125,32.69999694824219,728,42.7999382019043
