UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Cambridge.1,UK,Cambridge,10.045833587646484,4.925419006347656,21.299999237060547,552,13.302706718444824
Cambridge.2,UK,Cambridge,9.891666412353516,4.903515930175781,21.400001525878906,551,13.278470993041992
Cambridge.3,UK,Cambridge,9.995833396911621,4.892130126953125,21.30000114440918,551,12.835641860961914
Cambridge.4,UK,Cambridge,10.024999618530273,4.886972351074219,21.19999885559082,554,12.747589111328125
Cambridge.5,UK,Cambridge,9.929166793823242,4.887714538574219,21.200000762939453,550,12.444881439208984
Cambridge.6,UK,Cambridge,9.866666793823242,4.874158935546875,21.30000114440918,550,12.444881439208984
Cambridge.7,UK,Cambridge,9.783333778381348,4.865898742675781,21.100000381469727,565,11.779996871948242
Cambridge.8,UK,Cambridge,9.908332824707031,4.894562683105469,21.30000114440918,551,12.242777824401855
Cambridge.9,UK,Cambridge,10.004166603088379,4.90896484375,21.200000762939453,551,12.803425788879395
Cambridge.10,UK,Cambridge,9.845833778381348,4.905583801269532,21.400001525878906,564,12.436708450317383
Cambridge.11,UK,Cambridge,9.891666412353516,4.913008422851562,21.200000762939453,592,12.050267219543457
Cambridge.12,UK,Cambridge,9.966667175292969,4.894492797851562,21.30000114440918,544,12.729765892028809
Cambridge.13,UK,Cambridge,10.020833969116211,4.889434814453125,21.200000762939453,556,13.002622604370117
Cambridge.14,UK,Cambridge,9.987500190734863,4.919124450683594,21.30000114440918,566,12.884549140930176
Cambridge.15,UK,Cambridge,10.045833587646484,4.925419006347656,21.299999237060547,552,13.302706718444824
Cambridge.16,UK,Cambridge,9.962499618530273,4.901211547851562,21.200000762939453,566,12.545557022094727
Cambridge.17,UK,Cambridge,10.195833206176758,4.9860467529296875,21.5,558,12.962181091308594
Cambridge.18,UK,Cambridge,10.0625,4.9573233032226565,21.299999237060547,561,13.24890422821045
Cambridge.19,UK,Cambridge,9.800000190734863,4.8788037109375,21.30000114440918,569,12.185992240905762
Cambridge.20,UK,Cambridge,9.737500190734863,4.873543090820313,21.19999885559082,580,12.079984664916992
Cambridge.21,UK,Cambridge,9.770833015441895,4.868986206054688,21.100000381469727,573,11.374909400939941
Cambridge.22,UK,Cambridge,10.233333587646484,4.983624877929688,21.5,556,13.311027526855469
Cambridge.23,UK,Cambridge,10.183333396911621,4.968552551269531,21.399999618530273,557,13.169191360473633
Cambridge.24,UK,Cambridge,10.020833969116211,4.865063781738281,21.200000762939453,549,13.063102722167969
Cambridge.25,UK,Cambridge,10.050000190734863,4.90078857421875,21.19999885559082,554,13.250561714172363
Cambridge.26,UK,Cambridge,10.050000190734863,4.940095520019531,21.299999237060547,557,13.472726821899414
Cambridge.27,UK,Cambridge,9.945833206176758,4.887063598632812,21.200000762939453,552,12.505400657653809
Cambridge.28,UK,Cambridge,9.741666793823242,4.859284973144531,21.100000381469727,580,12.355143547058105
Cambridge.29,UK,Cambridge,9.929166793823242,4.877520751953125,21.200000762939453,555,12.670323371887207
Cambridge.30,UK,Cambridge,10.016666412353516,4.860851745605469,21.200000762939453,552,13.052868843078613
Cambridge.31,UK,Cambridge,10.029167175292969,4.913546142578125,21.200000762939453,553,12.82222843170166
Cambridge.32,UK,Cambridge,9.975000381469727,4.8746795654296875,21.30000114440918,549,12.870634078979492
Cambridge.33,UK,Cambridge,9.891666412353516,4.903515930175781,21.400001525878906,551,13.278470993041992
Cambridge.34,UK,Cambridge,9.954166412353516,4.898815307617188,21.30000114440918,557,12.668416023254395
Cambridge.35,UK,Cambridge,9.783333778381348,4.854254455566406,21.100000381469727,563,12.216300964355469
Cambridge.36,UK,Cambridge,9.954166412353516,4.9214956665039065,21.30000114440918,557,12.889899253845215
Cambridge.37,UK,Cambridge,9.995833396911621,4.8687527465820315,21.100000381469727,561,12.882715225219727
Cambridge.38,UK,Cambridge,10,4.8948486328125,21.299999237060547,561,12.664216041564941
Cambridge.39,UK,Cambridge,10.02500057220459,4.910540771484375,21.200000762939453,550,13.030584335327148
Cambridge.40,UK,Cambridge,10.050000190734863,4.951124572753907,21.299999237060547,569,13.542570114135742
