UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Cape_Town.1,South Africa,Cape_Town,17.304166793823242,2.976304931640625,17.100000381469727,564,68.24018859863281
Cape_Town.2,South Africa,Cape_Town,17.066667556762695,3.7887591552734374,21.700000762939453,703,64.27399444580078
Cape_Town.3,South Africa,Cape_Town,17.633333206176758,3.95171630859375,22.200000762939453,572,65.7495346069336
Cape_Town.4,South Africa,Cape_Town,17.037500381469727,2.945499267578125,16.700000762939453,566,67.66807556152344
Cape_Town.5,South Africa,Cape_Town,17.045833587646484,3.246498718261719,19.200000762939453,498,68.38265228271484
Cape_Town.6,South Africa,Cape_Town,17.424999237060547,3.6743890380859376,21.100000381469727,631,66.419403076171875
Cape_Town.7,South Africa,Cape_Town,17.045833587646484,3.1128369140625,18,515,68.75452423095703
Cape_Town.8,South Africa,Cape_Town,17.483333587646484,3.610800476074219,20.799999237060547,625,66.1683120727539
Cape_Town.9,South Africa,Cape_Town,17.337499618530273,3.4134841918945313,19.5,621,66.25030517578125
Cape_Town.10,South Africa,Cape_Town,16.566667556762695,2.5451678466796874,14.299999237060547,537,67.98753356933594
Cape_Town.11,South Africa,Cape_Town,17.233333587646484,3.641885986328125,21.200000762939453,521,66.90787506103516
Cape_Town.12,South Africa,Cape_Town,16.612499237060547,3.4593170166015623,20,645,63.491966247558594
Cape_Town.13,South Africa,Cape_Town,17.049999237060547,3.663207702636719,21.30000114440918,684,64.406524658203125
Cape_Town.14,South Africa,Cape_Town,16.516666412353516,3.622112121582031,21.099998474121094,739,61.68783950805664
Cape_Town.15,South Africa,Cape_Town,17.149999618530273,3.320596923828125,19,603,68.02672576904297
Cape_Town.16,South Africa,Cape_Town,16.674999237060547,3.684395751953125,21.299999237060547,718,62.63789749145508
Cape_Town.17,South Africa,Cape_Town,17.65416717529297,3.8621389770507815,21.69999885559082,560,67.09312438964844
Cape_Town.18,South Africa,Cape_Town,17.64583396911621,3.1038433837890627,17.69999885559082,569,68.54393005371094
Cape_Town.19,South Africa,Cape_Town,17.29166603088379,3.745411376953125,21.5,611,66.691192626953125
Cape_Town.20,South Africa,Cape_Town,16,2.6138616943359376,14.5,582,65.9279556274414
Cape_Town.21,South Africa,Cape_Town,17.737499237060547,4.05474609375,23,598,65.6902084350586
Cape_Town.22,South Africa,Cape_Town,17.191667556762695,3.4043310546875,19.69999885559082,606,67.05229949951172
Cape_Town.23,South Africa,Cape_Town,16.90833282470703,3.06578125,18,493,69.39308166503906
