UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Kyoto.1,Japan,Kyoto,12.541666984558105,8.422449340820313,30.899999618530273,1770,40.40251159667969
Kyoto.2,Japan,Kyoto,12.629166603088379,8.372803955078124,31.100000381469727,1712,47.10356140136719
Kyoto.3,Japan,Kyoto,10.408333778381348,8.537958984375,31.100000381469727,1941,39.7659912109375
Kyoto.4,Japan,Kyoto,15.466666221618652,8.359217529296876,31.600000381469727,1517,48.98665237426758
Kyoto.5,Japan,Kyoto,13.441666603088379,8.461109619140625,31.299999237060547,1610,41.58597183227539
Kyoto.6,Japan,Kyoto,14.858333587646484,8.293201904296875,30.399999618530273,1613,40.02144241333008
Kyoto.7,Japan,Kyoto,13.887499809265137,8.331515502929687,31,1536,49.0286750793457
Kyoto.8,Japan,Kyoto,13.408333778381348,8.549583740234375,31.299999237060547,1638,36.638301849365234
Kyoto.9,Japan,Kyoto,14.649999618530273,8.341054077148437,31.100000381469727,1525,48.04801559448242
Kyoto.10,Japan,Kyoto,12.554166793823242,8.475404052734374,30.799999237060547,1760,38.85862350463867
Kyoto.11,Japan,Kyoto,14.858333587646484,8.442555541992187,31.600000381469727,1629,39.676177978515625
Kyoto.12,Japan,Kyoto,14.841666221618652,8.319796752929687,30.700000762939453,1441,48.04366683959961
Kyoto.13,Japan,Kyoto,10.887499809265137,8.595166015625,31.19999885559082,1886,38.54460525512695
Kyoto.14,Japan,Kyoto,14.441666603088379,8.431026000976562,31.19999885559082,1539,43.86875915527344
Kyoto.15,Japan,Kyoto,14.208333015441895,8.395313720703125,31,1595,44.1984977722168
Kyoto.16,Japan,Kyoto,12.558333396911621,8.3922265625,31,1752,42.16190719604492
Kyoto.17,Japan,Kyoto,14.845833778381348,8.366368408203124,30.900001525878906,1604,45.71873474121094
Kyoto.18,Japan,Kyoto,11.475000381469727,8.576434326171874,31.100000381469727,1851,36.20353698730469
Kyoto.19,Japan,Kyoto,13.387499809265137,8.425748291015625,30.899999618530273,1703,39.21485137939453
Kyoto.20,Japan,Kyoto,11.970832824707031,8.514518432617187,30.799999237060547,1837,35.88429641723633
Kyoto.21,Japan,Kyoto,11.791666984558105,8.603668212890625,31.19999885559082,1812,35.423160552978516
Kyoto.22,Japan,Kyoto,14.716666221618652,8.308739624023438,30.5,1620,38.12458419799805
Kyoto.23,Japan,Kyoto,12.887499809265137,8.379686279296875,31.100000381469727,1679,47.38278579711914
Kyoto.24,Japan,Kyoto,13.8125,8.375155639648437,31.299999237060547,1589,47.43949508666992
Kyoto.25,Japan,Kyoto,16.045833587646484,8.3658251953125,31.80000114440918,1429,48.90227127075195
Kyoto.26,Japan,Kyoto,14.841667175292969,8.462211303710937,31.700000762939453,1621,40.30080795288086
Kyoto.27,Japan,Kyoto,11.179166793823242,8.595624389648437,31.200000762939453,1854,37.92527389526367
Kyoto.28,Japan,Kyoto,15.012499809265137,8.397108154296875,31,1582,45.22163391113281
Kyoto.29,Japan,Kyoto,12.504166603088379,8.374513549804687,31.099998474121094,1722,47.8055419921875
Kyoto.30,Japan,Kyoto,14.883333206176758,8.467164916992187,31.900001525878906,1605,44.72338104248047
Kyoto.31,Japan,Kyoto,14.779166221618652,8.329342041015625,30.5,1594,43.6058235168457
Kyoto.32,Japan,Kyoto,11.429166793823242,8.48376708984375,30.900001525878906,1865,39.28977966308594
Kyoto.33,Japan,Kyoto,15.399999618530273,8.464631958007812,31.69999885559082,1550,47.45839309692383
Kyoto.34,Japan,Kyoto,14.362500190734863,8.453539428710938,31.19999885559082,1571,43.49704360961914
Kyoto.35,Japan,Kyoto,11.945833206176758,8.560067138671876,31.299999237060547,1771,37.5420036315918
Kyoto.36,Japan,Kyoto,14.454166412353516,8.400499267578125,31.19999885559082,1573,46.524662017822266
Kyoto.37,Japan,Kyoto,14.112500190734863,8.343727416992188,31.100000381469727,1535,48.54078674316406
Kyoto.38,Japan,Kyoto,12.929166793823242,8.441953125,31.099998474121094,1622,44.153499603271484
Kyoto.39,Japan,Kyoto,14.804166793823242,8.462093505859375,31.899999618530273,1582,46.08609390258789
Kyoto.40,Japan,Kyoto,14.345832824707031,8.448869018554687,31.19999885559082,1519,42.321922302246094
Kyoto.41,Japan,Kyoto,14.912500381469727,8.486570434570313,31.80000114440918,1638,42.697898864746094
Kyoto.42,Japan,Kyoto,14.100000381469727,8.379086303710938,31.100000381469727,1552,47.10378646850586
Kyoto.43,Japan,Kyoto,15.091666221618652,8.332271118164062,31,1450,48.29045486450195
Kyoto.44,Japan,Kyoto,13.375,8.387125244140625,30.899999618530273,1512,46.474281311035156
