UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Moncton.1,Canada,Moncton,6.191666603088379,10.393963623046876,39.599998474121094,1177,8.750521659851074
Moncton.2,Canada,Moncton,5.629166603088379,10.113727416992187,38.29999923706055,1172,8.271540641784668
Moncton.3,Canada,Moncton,5.741666793823242,10.15555908203125,38.599998474121094,1171,8.313767433166504
Moncton.4,Canada,Moncton,5.770833492279053,9.924360961914063,37.70000076293945,1169,9.18532943725586
Moncton.5,Canada,Moncton,5.4708333015441895,9.873321533203125,37.400001525878906,1204,9.487256050109863
Moncton.6,Canada,Moncton,5.537499904632568,10.013834228515625,37.900001525878906,1156,8.655155181884766
Moncton.7,Canada,Moncton,5.733333110809326,10.03234130859375,38.099998474121094,1192,8.938162803649902
Moncton.8,Canada,Moncton,5.612500190734863,10.102612915039062,38.29999923706055,1171,8.302509307861328
Moncton.9,Canada,Moncton,5.7833333015441895,10.050697021484375,38.20000076293945,1174,9.058419227600098
Moncton.10,Canada,Moncton,5.4041666984558105,9.841134643554687,37.29999923706055,1217,9.48906421661377
Moncton.11,Canada,Moncton,5.5958333015441895,10.057978515625,38.099998474121094,1160,8.80062484741211
Moncton.12,Canada,Moncton,6.0291666984558105,10.189555053710938,38.79999923706055,1184,8.517242431640625
Moncton.13,Canada,Moncton,5.462500095367432,9.882333374023437,37.5,1168,9.602042198181152
Moncton.14,Canada,Moncton,5.479166507720947,9.8473681640625,37.400001525878906,1185,9.356861114501953
Moncton.15,Canada,Moncton,5.875,10.1590869140625,38.599998474121094,1187,8.843847274780273
Moncton.16,Canada,Moncton,5.550000190734863,10.1054443359375,38.30000305175781,1174,8.2857208251953125
Moncton.17,Canada,Moncton,5.504166603088379,9.9801953125,37.79999923706055,1153,8.898329734802246
Moncton.18,Canada,Moncton,5.641666889190674,9.960783081054688,37.79999923706055,1193,9.200498580932617
Moncton.19,Canada,Moncton,5.566666603088379,10.035490112304688,38.20000076293945,1181,8.431615829467773
Moncton.20,Canada,Moncton,5.504166603088379,9.838155517578125,37.29999923706055,1194,9.55807876586914
Moncton.21,Canada,Moncton,5.75,10.14555419921875,38.599998474121094,1177,9.021461486816406
Moncton.22,Canada,Moncton,6.129166603088379,10.299326171875,39.20000076293945,1175,8.48519229888916
Moncton.23,Canada,Moncton,6.070833206176758,10.213103637695312,38.900001525878906,1193,8.89154052734375
Moncton.24,Canada,Moncton,5.570833206176758,9.964994506835938,37.900001525878906,1197,9.107993125915527
Moncton.25,Canada,Moncton,5.537499904632568,9.887092895507813,37.5,1195,9.3500823974609375
Moncton.26,Canada,Moncton,5.604166507720947,10.101315307617188,38.29999923706055,1166,8.364577293395996
Moncton.27,Canada,Moncton,5.516666889190674,9.885671997070313,37.5,1163,9.455482482910156
Moncton.28,Canada,Moncton,5.479166507720947,10.00064697265625,37.900001525878906,1153,8.566975593566895
Moncton.29,Canada,Moncton,5.550000190734863,10.030974731445312,38.20000076293945,1190,8.49074935913086
Moncton.30,Canada,Moncton,5.525000095367432,10.01583984375,37.900001525878906,1158,9.147513389587402
Moncton.31,Canada,Moncton,5.7791666984558105,9.90914306640625,37.70000076293945,1167,9.166728973388672
Moncton.32,Canada,Moncton,5.949999809265137,10.114076538085937,38.5,1176,8.889723777770996
Moncton.33,Canada,Moncton,5.954166412353516,10.122218017578126,38.5,1184,8.823348045349121
Moncton.34,Canada,Moncton,5.699999809265137,9.88987060546875,37.599998474121094,1170,9.279513359069824
Moncton.35,Canada,Moncton,5.733333110809326,9.966268920898438,37.900001525878906,1181,8.625740051269531
Moncton.36,Canada,Moncton,5.391666889190674,10.041569213867188,38.099998474121094,1173,8.091190338134766
Moncton.37,Canada,Moncton,5.566666603088379,10.061319580078125,38.099998474121094,1166,8.498836517333984
