UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Sacramento.1,USA,Sacramento,16.758333206176758,6.258261108398438,30.700000762939453,481,87.19828033447266
Sacramento.2,USA,Sacramento,16.52916717529297,6.051763916015625,30,467,90.08951568603516
Sacramento.3,USA,Sacramento,16.637500762939453,6.160214233398437,30.700000762939453,482,86.85748291015625
Sacramento.4,USA,Sacramento,16.816667556762695,6.2434814453125,30.60000228881836,484,87.01323699951172
Sacramento.5,USA,Sacramento,16.670833587646484,6.163176879882813,30.299999237060547,475,88.02838897705078
Sacramento.6,USA,Sacramento,16.225000381469727,5.990048828125,29.900001525878906,457,92.14613342285156
Sacramento.7,USA,Sacramento,16.75,6.181055908203125,30.400001525878906,480,87.4345474243164
Sacramento.8,USA,Sacramento,16.04166603088379,6.002076416015625,29.799999237060547,464,89.65033721923828
Sacramento.9,USA,Sacramento,16.77083396911621,6.242757568359375,30.799999237060547,472,88.18119049072266
Sacramento.10,USA,Sacramento,16.09583282470703,5.853726806640625,29.200000762939453,460,90.42958068847656
Sacramento.11,USA,Sacramento,15.933333396911621,5.73527099609375,28.799999237060547,465,89.63452911376953
Sacramento.12,USA,Sacramento,15.983333587646484,5.842179565429688,29.69999885559082,450,92.48756408691406
Sacramento.13,USA,Sacramento,15.920832633972168,5.7423248291015625,29.19999885559082,465,91.74710845947266
Sacramento.14,USA,Sacramento,16.524999618530273,6.22025634765625,30.900001525878906,483,86.97300720214844
Sacramento.15,USA,Sacramento,16.58333396911621,5.999141235351562,29.899999618530273,465,89.80126190185547
Sacramento.16,USA,Sacramento,16.454166412353516,6.00266845703125,30.100000381469727,461,91.11035919189453
Sacramento.17,USA,Sacramento,16.125,5.925350341796875,29.5,461,90.39469146728516
Sacramento.18,USA,Sacramento,16.433332443237305,6.012839965820312,30,460,91.32189178466797
Sacramento.19,USA,Sacramento,16.59583282470703,6.02964111328125,30.200000762939453,469,89.17088317871094
Sacramento.20,USA,Sacramento,16.762500762939453,6.306242065429688,30.899999618530273,485,86.735107421875
Sacramento.21,USA,Sacramento,15.966666221618652,5.830380249023437,29.100000381469727,459,90.26789855957031
Sacramento.22,USA,Sacramento,16.745832443237305,6.221314697265625,30.400001525878906,496,86.66621398925781
Sacramento.23,USA,Sacramento,16.450000762939453,6.046975708007812,30,465,90.382415771484375
Sacramento.24,USA,Sacramento,16.429166793823242,6.26380126953125,30.999998092651367,468,88.5553207397461
Sacramento.25,USA,Sacramento,15.899999618530273,5.831614379882812,29.799999237060547,463,92.20475769042969
Sacramento.26,USA,Sacramento,16.662500381469727,6.372174072265625,31.19999885559082,485,87.21041107177734
Sacramento.27,USA,Sacramento,16.754167556762695,6.223396606445313,30.5,495,86.20611572265625
Sacramento.28,USA,Sacramento,16.612499237060547,6.02548095703125,30.10000228881836,473,88.27168273925781
Sacramento.29,USA,Sacramento,16.60416603088379,6.06998779296875,30.000001907348633,468,88.452606201171875
Sacramento.30,USA,Sacramento,16.77916717529297,6.250653076171875,30.5,493,86.44268035888672
Sacramento.31,USA,Sacramento,16.741666793823242,6.18645263671875,30.400001525878906,491,86.43392181396484
Sacramento.32,USA,Sacramento,16.737499237060547,6.332244873046875,31.099998474121094,472,88.3458023071289
Sacramento.33,USA,Sacramento,16.35416603088379,5.980858154296875,30.099998474121094,459,91.38538360595703
Sacramento.34,USA,Sacramento,16.754167556762695,6.223396606445313,30.5,495,86.20611572265625
Sacramento.35,USA,Sacramento,16.075000762939453,5.842185668945312,29.19999885559082,462,90.49446105957031
Sacramento.36,USA,Sacramento,16.53333282470703,6.020960693359375,30.400001525878906,467,89.23683166503906
Sacramento.37,USA,Sacramento,16.09583282470703,5.8340869140625,29.60000228881836,454,92.33136749267578
Sacramento.38,USA,Sacramento,16.47916603088379,6.002933349609375,30.299999237060547,464,90.80934143066406
Sacramento.39,USA,Sacramento,16.758333206176758,6.343960571289062,31.200000762939453,473,88.42286682128906
Sacramento.40,USA,Sacramento,16.616666793823242,6.29120361328125,31,469,88.1305160522461
Sacramento.41,USA,Sacramento,16.274999618530273,6.045753784179688,30.000001907348633,464,89.65033721923828
