UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Tokyo.1,Japan,Tokyo,14.333333015441895,8.14840576171875,32.400001525878906,1383,52.16791915893555
Tokyo.2,Japan,Tokyo,15.625,7.586216430664063,28.399999618530273,1488,40.48003005981445
Tokyo.3,Japan,Tokyo,14.366666793823242,8.116434936523438,32.29999923706055,1407,51.89677047729492
Tokyo.4,Japan,Tokyo,14.412500381469727,8.109173583984376,32,1305,50.782081604003906
Tokyo.5,Japan,Tokyo,13.987500190734863,8.0479278564453125,32,1308,47.21388626098633
Tokyo.6,Japan,Tokyo,8.737500190734863,7.939175415039062,31.099998474121094,1717,62.40596008300781
Tokyo.7,Japan,Tokyo,15.550000190734863,7.397450561523438,28,1450,38.542877197265625
Tokyo.8,Japan,Tokyo,13.274999618530273,7.908352661132812,31.5,1420,50.33558654785156
Tokyo.9,Japan,Tokyo,12.333333015441895,8.0584326171875,32.10000228881836,1368,58.11852264404297
Tokyo.10,Japan,Tokyo,14.904167175292969,8.148046264648437,31.900001525878906,1349,50.566925048828125
Tokyo.11,Japan,Tokyo,15.199999809265137,7.781680297851563,30.5,1558,44.414791107177734
Tokyo.12,Japan,Tokyo,14.670833587646484,7.752637939453125,29.900001525878906,1367,39.929927825927734
Tokyo.13,Japan,Tokyo,14.129166603088379,8.11274169921875,32,1274,47.8818244934082
Tokyo.14,Japan,Tokyo,13.208333015441895,7.880206298828125,30.899999618530273,1438,50.32505416870117
Tokyo.15,Japan,Tokyo,15.175000190734863,7.651871337890625,29.5,1385,38.841148376464844
Tokyo.16,Japan,Tokyo,12.175000190734863,7.619010009765625,30.100000381469727,1636,51.58126449584961
Tokyo.17,Japan,Tokyo,10.6875,7.674163208007813,30.799999237060547,1692,54.56806564331055
Tokyo.18,Japan,Tokyo,14.475000381469727,7.766258544921875,30.100000381469727,1383,39.57860565185547
Tokyo.19,Japan,Tokyo,14.779166221618652,7.7372021484375,30.100000381469727,1423,39.87154769897461
Tokyo.20,Japan,Tokyo,15.016666412353516,7.272530517578125,28,1760,38.13848114013672
Tokyo.21,Japan,Tokyo,14.754166603088379,7.953142700195312,30.899999618530273,1320,46.772762298583984
Tokyo.22,Japan,Tokyo,15.495833396911621,7.6600634765625,30.200000762939453,1667,42.559242248535156
Tokyo.23,Japan,Tokyo,15.462499618530273,7.534801635742188,29,1455,38.10192108154297
Tokyo.24,Japan,Tokyo,14.020833015441895,8.050139770507812,31.899999618530273,1320,46.80272674560547
Tokyo.25,Japan,Tokyo,14.316666603088379,8.156406860351563,32.599998474121094,1338,52.10642623901367
Tokyo.26,Japan,Tokyo,15.558333396911621,7.767965698242188,29.799999237060547,1513,43.83049011230469
Tokyo.27,Japan,Tokyo,14.25,8.025187377929688,31.5,1305,47.75664138793945
Tokyo.28,Japan,Tokyo,14.170833587646484,8.13154541015625,32.099998474121094,1262,48.60905456542969
Tokyo.29,Japan,Tokyo,10.208333015441895,7.9858349609375,31.600000381469727,1546,60.5481071472168
Tokyo.30,Japan,Tokyo,14.925000190734863,7.421820068359375,29.700000762939453,1653,43.30230712890625
Tokyo.31,Japan,Tokyo,15.320833206176758,7.527720336914062,28.899999618530273,1541,37.34248733520508
Tokyo.32,Japan,Tokyo,14.125,8.130931396484375,32.29999923706055,1306,48.99778747558594
Tokyo.33,Japan,Tokyo,12.995833396911621,7.81788330078125,31,1478,50.60015869140625
Tokyo.34,Japan,Tokyo,15.470833778381348,7.71237060546875,30.399999618530273,1620,42.99027633666992
Tokyo.35,Japan,Tokyo,14.320833206176758,8.116046142578124,32,1254,49.2551155090332
Tokyo.36,Japan,Tokyo,14.504166603088379,7.976939697265625,31,1303,46.49754333496094
Tokyo.37,Japan,Tokyo,14.420833587646484,8.13766357421875,32.20000076293945,1276,53.00271224975586
Tokyo.38,Japan,Tokyo,14.9375,7.482407836914063,28.600000381469727,1642,36.592002868652344
