UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Trondheim.1,Norway,Trondheim,5.041666507720947,6.235814208984375,23.600000381469727,945,22.123594284057617
Trondheim.2,Norway,Trondheim,3.9000000953674316,6.1368115234375,23,1074,22.81853675842285
Trondheim.3,Norway,Trondheim,4.004166603088379,6.147633056640625,23.099998474121094,1066,22.614038467407227
Trondheim.4,Norway,Trondheim,3.8416666984558105,6.119857177734375,22.899999618530273,1063,21.902761459350586
Trondheim.5,Norway,Trondheim,5.537499904632568,6.014041137695313,22.900001525878906,965,23.218666076660156
Trondheim.6,Norway,Trondheim,5.233333587646484,6.14622314453125,23.299999237060547,978,22.44879913330078
Trondheim.7,Norway,Trondheim,NA,NA,NA,NA,NA
Trondheim.8,Norway,Trondheim,4.0625,5.587003173828125,20.799999237060547,1170,25.42865753173828
Trondheim.9,Norway,Trondheim,5.441666603088379,6.197830810546875,23.599998474121094,939,22.269676208496094
Trondheim.10,Norway,Trondheim,4.958333492279053,6.272227172851562,23.700000762939453,945,21.857093811035156
Trondheim.11,Norway,Trondheim,4.387499809265137,5.644954833984375,21.100000381469727,1131,24.965633392333984
Trondheim.12,Norway,Trondheim,4.554166793823242,6.18327880859375,23.299999237060547,1015,22.20035171508789
Trondheim.13,Norway,Trondheim,3.7750000953674316,5.639692993164062,20.899999618530273,1193,24.33204460144043
Trondheim.14,Norway,Trondheim,3.987499952316284,5.757608642578125,21.5,1151,23.78044891357422
Trondheim.15,Norway,Trondheim,4.833333492279053,6.2481756591796875,23.599998474121094,948,21.8725643157959
Trondheim.16,Norway,Trondheim,4.7208333015441895,5.703167114257813,21.5,1074,24.37550926208496
Trondheim.17,Norway,Trondheim,4.420833110809326,6.142603149414063,23.200000762939453,990,22.349781036376953
Trondheim.18,Norway,Trondheim,4.525000095367432,6.112301635742187,23.100000381469727,1009,22.91368293762207
Trondheim.19,Norway,Trondheim,5.104166507720947,6.222373657226562,23.600000381469727,975,22.365083694458008
Trondheim.20,Norway,Trondheim,3.9791667461395264,5.660086059570313,21.100000381469727,1171,24.091737747192383
Trondheim.21,Norway,Trondheim,4.420833110809326,6.093792114257813,22.900001525878906,1038,22.838953018188477
Trondheim.22,Norway,Trondheim,3.616666555404663,6.131636962890625,22.899999618530273,1085,22.19603729248047
Trondheim.23,Norway,Trondheim,5.620833396911621,5.931942138671875,22.600000381469727,952,23.33867645263672
Trondheim.24,Norway,Trondheim,3.9583334922790527,5.905383911132812,22,1127,22.824892044067383
Trondheim.25,Norway,Trondheim,5.0625,6.251694946289063,23.700000762939453,947,21.976215362548828
Trondheim.26,Norway,Trondheim,5.5333333015441895,5.99853515625,22.799999237060547,920,22.936290740966797
Trondheim.27,Norway,Trondheim,4.9708333015441895,5.994257202148438,22.700000762939453,977,22.66103744506836
Trondheim.28,Norway,Trondheim,4.995833396911621,6.29030517578125,23.799999237060547,946,21.82583999633789
Trondheim.29,Norway,Trondheim,4.304166793823242,5.765077514648437,21.599998474121094,1114,23.72962188720703
Trondheim.30,Norway,Trondheim,5.5333333015441895,5.99853515625,22.799999237060547,920,22.936290740966797
Trondheim.31,Norway,Trondheim,3.616666793823242,5.86012451171875,21.700000762939453,1170,23.362289428710938
Trondheim.32,Norway,Trondheim,4.770833492279053,6.268009033203125,23.700000762939453,970,21.425888061523438
Trondheim.33,Norway,Trondheim,4.166666507720947,6.148071899414062,23.099998474121094,1050,22.739673614501953
Trondheim.34,Norway,Trondheim,4.300000190734863,6.0859747314453125,22.799999237060547,1042,22.592891693115234
Trondheim.35,Norway,Trondheim,4.625,6.228253173828125,23.5,987,21.91163444519043
Trondheim.36,Norway,Trondheim,5.537499904632568,6.014041137695313,22.900001525878906,965,23.218666076660156
Trondheim.37,Norway,Trondheim,5.441666603088379,6.197830810546875,23.599998474121094,939,22.269676208496094
