UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Victoria.1,Canada,Victoria,10.133333206176758,4.925044250488281,20.5,813,66.387115478515625
Victoria.2,Canada,Victoria,9.629166603088379,5.091591186523438,21.80000114440918,920,69.57196044921875
Victoria.3,Canada,Victoria,10.191666603088379,4.954099731445313,20.599998474121094,813,65.7115249633789
Victoria.4,Canada,Victoria,10.454166412353516,4.997156372070313,20.5,743,64.99603271484375
Victoria.5,Canada,Victoria,9.975000381469727,4.9386465454101565,20.700000762939453,875,65.97374725341797
Victoria.6,Canada,Victoria,9.850000381469727,4.925167236328125,20.700000762939453,875,66.18525695800781
Victoria.7,Canada,Victoria,9.158333778381348,4.865408020019531,20.899999618530273,1094,66.530120849609375
Victoria.8,Canada,Victoria,10.454166412353516,4.928094482421875,20.299999237060547,750,66.06840515136719
Victoria.9,Canada,Victoria,9.729166984558105,5.144390258789063,21.799999237060547,944,68.7149658203125
Victoria.10,Canada,Victoria,10.408332824707031,3.220166015625,14.399999618530273,661,63.340126037597656
Victoria.11,Canada,Victoria,10.512499809265137,4.969229125976563,20.19999885559082,721,64.88423156738281
Victoria.12,Canada,Victoria,8.987500190734863,4.881883239746093,21,1160,66.28577423095703
Victoria.13,Canada,Victoria,9.5,4.999818115234375,21.5,986,68.80948638916016
Victoria.14,Canada,Victoria,10.53749942779541,4.9865328979492185,20.299999237060547,690,65.06554412841797
Victoria.15,Canada,Victoria,10.3125,4.8675234985351565,20.30000114440918,777,66.2160873413086
Victoria.16,Canada,Victoria,9.237500190734863,4.872330322265625,20.799999237060547,1076,66.265533447265625
Victoria.17,Canada,Victoria,10.104166984558105,5.26875244140625,22,861,68.13646697998047
Victoria.18,Canada,Victoria,9.725000381469727,5.15789306640625,21.799999237060547,987,67.45250701904297
Victoria.19,Canada,Victoria,9.5,4.992539672851563,21.399999618530273,970,69.435791015625
Victoria.20,Canada,Victoria,10.004166603088379,3.572906799316406,16.899999618530273,861,68.41069793701172
Victoria.21,Canada,Victoria,10.512499809265137,5.002368774414062,20.5,749,65.46467590332031
Victoria.22,Canada,Victoria,10.291666984558105,4.876932373046875,20.30000114440918,784,67.33429718017578
Victoria.23,Canada,Victoria,9.520833015441895,4.923896179199219,20.899999618530273,990,66.55748748779297
Victoria.24,Canada,Victoria,9.745833396911621,5.170082397460938,21.899999618530273,948,69.01704406738281
Victoria.25,Canada,Victoria,10.550000190734863,4.996180419921875,20.30000114440918,678,63.96209716796875
Victoria.26,Canada,Victoria,10.466666221618652,4.985083923339844,20.299999237060547,721,64.805328369140625
Victoria.27,Canada,Victoria,9.220833778381348,4.90896484375,21,1087,66.630340576171875
Victoria.28,Canada,Victoria,9.820833206176758,4.9026181030273435,20.600000381469727,883,66.59752655029297
Victoria.29,Canada,Victoria,9.929166793823242,5.061685791015625,21.299999237060547,904,67.0658950805664
Victoria.30,Canada,Victoria,10.520833015441895,4.9801632690429685,20.299999237060547,695,65.3147964477539
Victoria.31,Canada,Victoria,10.262499809265137,4.974988403320313,20.799999237060547,814,65.99845123291016
Victoria.32,Canada,Victoria,10.441666603088379,4.962213439941406,20.100000381469727,722,65.27546691894531
Victoria.33,Canada,Victoria,NA,NA,NA,NA,NA
Victoria.34,Canada,Victoria,10.466666221618652,4.995922546386719,20.700000762939453,781,64.90906524658203
Victoria.35,Canada,Victoria,9.558333396911621,5.049384765625,21.5,972,69.08394622802734
Victoria.36,Canada,Victoria,10.516666412353516,5.000924072265625,20.200000762939453,677,64.40251922607422
Victoria.37,Canada,Victoria,9.550000190734863,4.902689208984375,20.80000114440918,966,66.93892669677734
