UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Punta_Arenas.1,Chile,Punta_Arenas,6.120833396911621,3.3695465087890626,16.200000762939453,562,14.033560752868652
Punta_Arenas.2,Chile,Punta_Arenas,6.233333587646484,3.385418701171875,16.19999885559082,559,14.406518936157227
Punta_Arenas.3,Chile,Punta_Arenas,6.170833110809326,3.387373352050781,16.299999237060547,561,13.546502113342285
Punta_Arenas.4,Chile,Punta_Arenas,6.170833110809326,3.387373352050781,16.299999237060547,561,13.546502113342285
Punta_Arenas.5,Chile,Punta_Arenas,6.245833396911621,3.3975564575195314,16.299999237060547,556,13.848860740661621
Punta_Arenas.6,Chile,Punta_Arenas,6.245833396911621,3.3975564575195314,16.299999237060547,556,13.848860740661621
Punta_Arenas.7,Chile,Punta_Arenas,6.237500190734863,3.4007437133789065,16.399999618530273,558,13.805133819580078
Punta_Arenas.8,Chile,Punta_Arenas,6.237500190734863,3.4007437133789065,16.399999618530273,558,13.805133819580078
Punta_Arenas.9,Chile,Punta_Arenas,6.25,3.402873229980469,16.299999237060547,556,13.492688179016113
Punta_Arenas.10,Chile,Punta_Arenas,6.241666793823242,3.403930358886719,16.399999618530273,552,14.430489540100098
Punta_Arenas.11,Chile,Punta_Arenas,6.241666793823242,3.403930358886719,16.399999618530273,552,14.430489540100098
Punta_Arenas.12,Chile,Punta_Arenas,6.241666793823242,3.403930358886719,16.399999618530273,552,14.430489540100098
Punta_Arenas.13,Chile,Punta_Arenas,6.241666793823242,3.403930358886719,16.399999618530273,552,14.430489540100098
Punta_Arenas.14,Chile,Punta_Arenas,6.25,3.409478759765625,16.399999618530273,542,14.153700828552246
Punta_Arenas.15,Chile,Punta_Arenas,6.208333492279053,3.4047982788085935,16.399999618530273,542,14.093300819396973
Punta_Arenas.16,Chile,Punta_Arenas,6.254166603088379,3.4144384765625,16.399999618530273,536,14.354293823242188
Punta_Arenas.17,Chile,Punta_Arenas,6.270833492279053,3.4176318359375,16.399999618530273,533,14.190800666809082
Punta_Arenas.18,Chile,Punta_Arenas,6.258333206176758,3.408067626953125,16.299999237060547,542,13.941155433654785
Punta_Arenas.19,Chile,Punta_Arenas,6.270833492279053,3.4176318359375,16.399999618530273,530,13.933582305908203
Punta_Arenas.20,Chile,Punta_Arenas,6.241666793823242,3.4950506591796877,16.799999237060547,465,14.236132621765137
Punta_Arenas.21,Chile,Punta_Arenas,6.304166793823242,3.475986328125,16.799999237060547,467,13.699109077453613
Punta_Arenas.22,Chile,Punta_Arenas,6.233333110809326,3.4978131103515624,16.799999237060547,474,13.462400436401367
Punta_Arenas.23,Chile,Punta_Arenas,6.204166889190674,3.480560302734375,16.700000762939453,474,13.907893180847168
Punta_Arenas.24,Chile,Punta_Arenas,6.191666603088379,3.4803887939453126,16.700000762939453,481,14.172415733337402
Punta_Arenas.25,Chile,Punta_Arenas,6.2208333015441895,3.483497314453125,16.700000762939453,488,13.666149139404297
Punta_Arenas.26,Chile,Punta_Arenas,6.170833110809326,3.451380310058594,16.600000381469727,487,13.387777328491211
Punta_Arenas.27,Chile,Punta_Arenas,6.233333587646484,3.385418701171875,16.19999885559082,559,14.406518936157227
Punta_Arenas.28,Chile,Punta_Arenas,6.0625,3.456162109375,16.600000381469727,509,13.660163879394531
Punta_Arenas.29,Chile,Punta_Arenas,5.933333396911621,3.4404898071289063,16.600000381469727,509,13.624813079833984
Punta_Arenas.30,Chile,Punta_Arenas,6.1583333015441895,3.4675006103515624,16.600000381469727,490,13.592607498168945
Punta_Arenas.31,Chile,Punta_Arenas,6.070833206176758,3.451380310058594,16.600000381469727,494,13.785140037536621
Punta_Arenas.32,Chile,Punta_Arenas,6.066666603088379,3.4564389038085936,16.600000381469727,502,13.715859413146973
Punta_Arenas.33,Chile,Punta_Arenas,6.070833206176758,3.451380310058594,16.600000381469727,500,14.145116806030273
Punta_Arenas.34,Chile,Punta_Arenas,6.0625,3.456162109375,16.600000381469727,509,13.660163879394531
Punta_Arenas.35,Chile,Punta_Arenas,6.025000095367432,3.4319686889648438,16.600000381469727,514,13.260990142822266
Punta_Arenas.36,Chile,Punta_Arenas,6.012499809265137,3.4180752563476564,16.5,516,14.143464088439941
Punta_Arenas.37,Chile,Punta_Arenas,6.012499809265137,3.4180752563476564,16.5,518,14.763089179992676
Punta_Arenas.38,Chile,Punta_Arenas,6.120833396911621,3.421686096191406,16.5,518,13.681758880615234
Punta_Arenas.39,Chile,Punta_Arenas,6.25,3.409478759765625,16.399999618530273,529,14.138421058654785
