UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Quebec_City.1,Canada,Quebec_City,4.054166793823242,11.527269287109375,42.5,1167,20.006832122802734
Quebec_City.2,Canada,Quebec_City,4.054166793823242,11.527269287109375,42.5,1167,20.189579010009766
Quebec_City.3,Canada,Quebec_City,4.070833206176758,11.51395263671875,42.400001525878906,1166,20.247333526611328
Quebec_City.4,Canada,Quebec_City,4.075000286102295,11.52103759765625,42.400001525878906,1167,20.32440185546875
Quebec_City.5,Canada,Quebec_City,4.050000190734863,11.535911865234375,42.5,1167,20.025651931762695
Quebec_City.6,Canada,Quebec_City,4.050000190734863,11.535911865234375,42.5,1167,20.025651931762695
Quebec_City.7,Canada,Quebec_City,3.987499952316284,11.506561279296875,42.400001525878906,1171,20.080984115600586
Quebec_City.8,Canada,Quebec_City,3.9208333492279053,11.463944091796876,42.400001525878906,1163,20.213014602661133
Quebec_City.9,Canada,Quebec_City,3.8916666507720947,11.4554833984375,42.29999923706055,1158,20.728469848632812
Quebec_City.10,Canada,Quebec_City,3.8916666507720947,11.4554833984375,42.29999923706055,1158,20.728469848632812
Quebec_City.11,Canada,Quebec_City,4.083333492279053,11.5186865234375,42.400001525878906,1169,20.337726593017578
Quebec_City.12,Canada,Quebec_City,4.0625,11.52028076171875,42.5,1173,20.336421966552734
Quebec_City.13,Canada,Quebec_City,4.104166507720947,11.540057373046874,42.599998474121094,1191,19.62613868713379
Quebec_City.14,Canada,Quebec_City,4.0916666984558105,11.5364208984375,42.5,1176,20.29821014404297
Quebec_City.15,Canada,Quebec_City,4.099999904632568,11.531478271484374,42.5,1179,20.247650146484375
Quebec_City.16,Canada,Quebec_City,4.116666793823242,11.526024169921875,42.5,1181,20.10572624206543
Quebec_City.17,Canada,Quebec_City,4.108333587646484,11.52183349609375,42.5,1181,20.10572624206543
Quebec_City.18,Canada,Quebec_City,4.108333587646484,11.52183349609375,42.5,1181,20.10572624206543
Quebec_City.19,Canada,Quebec_City,4.0958333015441895,11.52868896484375,42.5,1188,19.780614852905273
Quebec_City.20,Canada,Quebec_City,4.0958333015441895,11.52868896484375,42.5,1187,19.725496292114258
Quebec_City.21,Canada,Quebec_City,4.0958333015441895,11.52868896484375,42.5,1187,19.725496292114258
Quebec_City.22,Canada,Quebec_City,4.0958333015441895,11.52868896484375,42.5,1190,20.020347595214844
Quebec_City.23,Canada,Quebec_City,4.125,11.528768310546875,42.5,1196,19.389183044433594
Quebec_City.24,Canada,Quebec_City,4.2208333015441895,11.55304931640625,42.599998474121094,1197,19.661285400390625
Quebec_City.25,Canada,Quebec_City,4.2791666984558105,11.56563232421875,42.70000076293945,1202,19.451541900634766
Quebec_City.26,Canada,Quebec_City,4.4666666984558105,11.612283935546875,42.79999923706055,1204,19.394458770751953
Quebec_City.27,Canada,Quebec_City,5.1583333015441895,11.74687255859375,43.20000076293945,1241,18.680015563964844
Quebec_City.28,Canada,Quebec_City,NA,NA,NA,NA,NA
Quebec_City.29,Canada,Quebec_City,5.008333206176758,11.70584228515625,43,1247,17.921464920043945
Quebec_City.30,Canada,Quebec_City,4.891666889190674,11.6576904296875,42.900001525878906,1241,17.764867782592773
Quebec_City.31,Canada,Quebec_City,4.858333587646484,11.631751708984375,42.79999923706055,1250,17.37229347229004
Quebec_City.32,Canada,Quebec_City,4.795833587646484,11.604769287109375,42.69999694824219,1236,17.62529182434082
Quebec_City.33,Canada,Quebec_City,4.795833587646484,11.604769287109375,42.69999694824219,1236,17.62529182434082
Quebec_City.34,Canada,Quebec_City,4.766666412353516,11.596165771484374,42.69999694824219,1236,17.653881072998047
Quebec_City.35,Canada,Quebec_City,4.737500190734863,11.61339599609375,42.79999923706055,1223,18.279129028320312
Quebec_City.36,Canada,Quebec_City,4.679166793823242,11.604730224609375,42.80000305175781,1222,18.333255767822266
Quebec_City.37,Canada,Quebec_City,4.616666793823242,11.617176513671875,42.80000305175781,1214,18.859039306640625
Quebec_City.38,Canada,Quebec_City,4.491666793823242,11.606871337890626,42.79999923706055,1210,19.05006217956543
Quebec_City.39,Canada,Quebec_City,4.525000095367432,11.592484130859376,42.79999923706055,1217,18.82048988342285
