UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Sudbury.1,Canada,Sudbury,4.120833396911621,11.776429443359374,43.79999923706055,828,23.4025821685791
Sudbury.2,Canada,Sudbury,4.412499904632568,11.86994140625,44.099998474121094,812,24.638883590698242
Sudbury.3,Canada,Sudbury,4.412499904632568,11.86994140625,44.099998474121094,812,24.638883590698242
Sudbury.4,Canada,Sudbury,4.400000095367432,11.8967333984375,44.30000305175781,809,24.389862060546875
Sudbury.5,Canada,Sudbury,4.479166507720947,11.958858642578125,44.5,804,25.540708541870117
Sudbury.6,Canada,Sudbury,4.554166793823242,12.008963623046874,44.70000076293945,802,25.236873626708984
Sudbury.7,Canada,Sudbury,4.574999809265137,12.0249267578125,44.80000305175781,801,26.216501235961914
Sudbury.8,Canada,Sudbury,4.650000095367432,12.06661376953125,45,786,27.6053524017334
Sudbury.9,Canada,Sudbury,4.650000095367432,12.06661376953125,45,786,27.6053524017334
Sudbury.10,Canada,Sudbury,4.650000095367432,12.06661376953125,45,786,27.6053524017334
Sudbury.11,Canada,Sudbury,4.508333206176758,12.078941650390625,45,795,27.220979690551758
Sudbury.12,Canada,Sudbury,4.5291666984558105,12.097603759765626,45.099998474121094,804,26.897916793823242
Sudbury.13,Canada,Sudbury,4.458333492279053,12.0848291015625,45.099998474121094,803,27.312122344970703
Sudbury.14,Canada,Sudbury,4.458333492279053,12.0848291015625,45.099998474121094,803,27.312122344970703
Sudbury.15,Canada,Sudbury,4.454166889190674,12.090068359375,45.099998474121094,807,26.82941246032715
Sudbury.16,Canada,Sudbury,4.383333206176758,12.07864990234375,45.099998474121094,801,27.333457946777344
Sudbury.17,Canada,Sudbury,4.383333206176758,12.07864990234375,45.099998474121094,801,27.333457946777344
Sudbury.18,Canada,Sudbury,4.333333492279053,12.08553466796875,45,809,26.606365203857422
Sudbury.19,Canada,Sudbury,4.195833206176758,12.0484716796875,45,818,25.927776336669922
