UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Halle.1,Germany,Halle,9.366666793823242,6.660785522460937,26.299999237060547,518,31.23653221130371
Halle.2,Germany,Halle,9.529166221618652,6.668189697265625,26.19999885559082,506,30.983530044555664
Halle.3,Germany,Halle,9.504166603088379,6.660618896484375,25.899999618530273,503,30.35569190979004
Halle.4,Germany,Halle,9.475000381469727,6.624729614257813,25.799999237060547,496,30.223020553588867
Halle.5,Germany,Halle,9.445833206176758,6.628021240234375,25.69999885559082,497,29.522367477416992
Halle.6,Germany,Halle,9.212499618530273,6.61077392578125,26.100000381469727,519,30.413211822509766
Halle.7,Germany,Halle,9.433333396911621,6.6239691162109375,26,501,30.582666397094727
Halle.8,Germany,Halle,9.508333206176758,6.624912719726563,25.799999237060547,500,30.169530868530273
Halle.9,Germany,Halle,9.529166221618652,6.661062622070313,25.799999237060547,508,29.50916290283203
Halle.10,Germany,Halle,9.333333015441895,6.650062866210938,25.700000762939453,518,27.55868148803711
Halle.11,Germany,Halle,9.408333778381348,6.685936279296875,26,498,27.831335067749023
Halle.12,Germany,Halle,9.324999809265137,6.691089477539062,26,503,27.84545135498047
Halle.13,Germany,Halle,9.216666221618652,6.606275634765625,26.100000381469727,521,30.288951873779297
Halle.14,Germany,Halle,9.266666412353516,6.6149053955078125,25.899999618530273,520,29.83671760559082
Halle.15,Germany,Halle,9.4375,6.607885131835937,25.69999885559082,512,30.102779388427734
Halle.16,Germany,Halle,9.583333015441895,6.631444702148437,25.69999885559082,503,30.646970748901367
Halle.17,Germany,Halle,9.529167175292969,6.694653930664063,25.69999885559082,522,28.929237365722656
Halle.18,Germany,Halle,9.487500190734863,6.719447021484375,26.100000381469727,513,28.733049392700195
Halle.19,Germany,Halle,9.433333396911621,6.725370483398438,26.200000762939453,505,28.52123260498047
Halle.20,Germany,Halle,9.320833206176758,6.73806884765625,26.30000114440918,504,27.5523624420166
Halle.21,Germany,Halle,9.208333015441895,6.741116333007812,26.400001525878906,507,25.616785049438477
Halle.22,Germany,Halle,9.216667175292969,6.58201171875,25.899999618530273,520,29.92958641052246
Halle.23,Germany,Halle,9.287500381469727,6.6057177734375,25.69999885559082,521,29.36195182800293
Halle.24,Germany,Halle,9.291666984558105,6.5994091796875,25.5,528,28.59995460510254
Halle.25,Germany,Halle,9.491666793823242,6.655545654296875,25.599998474121094,521,28.823421478271484
Halle.26,Germany,Halle,9.529167175292969,6.71783447265625,25.799999237060547,520,28.325740814208984
Halle.27,Germany,Halle,9.408333778381348,6.734471435546875,26.100000381469727,524,28.065690994262695
Halle.28,Germany,Halle,9.345833778381348,6.75292724609375,26.399999618530273,515,27.228715896606445
Halle.29,Germany,Halle,9.287500381469727,6.733907470703125,26.399999618530273,512,26.694746017456055
Halle.30,Germany,Halle,9.199999809265137,6.72853515625,26.5,510,25.570749282836914
Halle.31,Germany,Halle,9.304166793823242,6.595020751953125,25.799999237060547,515,29.664480209350586
Halle.32,Germany,Halle,9.304166793823242,6.594917602539063,25.600000381469727,520,28.827503204345703
Halle.33,Germany,Halle,9.383333206176758,6.612705688476563,25.600000381469727,512,29.071481704711914
Halle.34,Germany,Halle,9.316666603088379,6.651054077148437,25.600000381469727,528,26.984636306762695
Halle.35,Germany,Halle,9.1875,6.6642236328125,26,532,26.692474365234375
Halle.36,Germany,Halle,9.191666603088379,6.695888671875,26.200000762939453,522,27.04279327392578
Halle.37,Germany,Halle,9.195833206176758,6.717157592773438,26.399999618530273,516,26.41559410095215
