UID,Country,City,Mean_Annual_Temperature,Temperature_Seasonality,Range_Annual_Temperature,Annual_Precipitation,Precipitation_Seasonality
Rockford.1,USA,Rockford,8.75,10.8089404296875,41.099998474121094,914,36.15372848510742
Rockford.2,USA,Rockford,8.733333587646484,10.82707763671875,41,919,36.441959381103516
Rockford.3,USA,Rockford,8.75,10.822640380859376,40.900001525878906,919,36.24664306640625
Rockford.4,USA,Rockford,8.670833587646484,10.775360107421875,40.70000076293945,923,36.27367401123047
Rockford.5,USA,Rockford,8.600000381469727,10.83586181640625,41.099998474121094,907,36.4360237121582
Rockford.6,USA,Rockford,8.666666984558105,10.788089599609375,41,904,36.267730712890625
Rockford.7,USA,Rockford,8.6875,10.792044677734374,40.79999923706055,912,36.2580680847168
Rockford.8,USA,Rockford,8.75,10.826104736328125,41,914,36.45649719238281
Rockford.9,USA,Rockford,8.695833206176758,10.81271240234375,40.900001525878906,912,36.26652526855469
Rockford.10,USA,Rockford,8.716666221618652,10.749615478515626,40.70000076293945,911,36.337371826171875
Rockford.11,USA,Rockford,8.675000190734863,10.74122314453125,40.70000076293945,915,36.090641021728516
Rockford.12,USA,Rockford,8.333333015441895,10.8651513671875,41,903,36.628047943115234
Rockford.13,USA,Rockford,8.345833778381348,10.838157958984375,40.80000305175781,905,36.67289733886719
Rockford.14,USA,Rockford,8.408333778381348,10.808389892578125,40.79999923706055,910,36.56836700439453
Rockford.15,USA,Rockford,8.620833396911621,10.8159912109375,40.900001525878906,907,36.36789321899414
Rockford.16,USA,Rockford,8.983333587646484,10.9224609375,41.29999923706055,915,37.089847564697266
Rockford.17,USA,Rockford,8.841666221618652,10.932183837890625,41.400001525878906,911,36.60700988769531
Rockford.18,USA,Rockford,8.754166603088379,10.80005126953125,41,902,36.32768630981445
Rockford.19,USA,Rockford,8.774999618530273,10.803250732421875,41,910,36.50092697143555
Rockford.20,USA,Rockford,8.358333587646484,10.87429931640625,41.20000076293945,891,36.622745513916016
Rockford.21,USA,Rockford,8.379166603088379,10.86950439453125,41.099998474121094,897,36.697532653808594
Rockford.22,USA,Rockford,8.475000381469727,10.856868896484375,41,894,36.6383056640625
Rockford.23,USA,Rockford,8.733333587646484,10.86805908203125,41.099998474121094,891,36.4161262512207
Rockford.24,USA,Rockford,9.141666412353516,10.954510498046876,41.5,899,36.86739730834961
Rockford.25,USA,Rockford,8.979166984558105,10.947197265625,41.5,901,36.641197204589844
Rockford.26,USA,Rockford,8.579166412353516,10.82964111328125,41.20000076293945,902,36.624114990234375
Rockford.27,USA,Rockford,8.670833587646484,10.801925048828124,41.099998474121094,897,36.62406539916992
Rockford.28,USA,Rockford,8.320833206176758,10.89923828125,41.400001525878906,881,37.14056396484375
Rockford.29,USA,Rockford,8.391666412353516,10.852960205078125,41.20000076293945,877,36.86101531982422
Rockford.30,USA,Rockford,8.383333206176758,10.842872314453125,41,883,36.752010345458984
Rockford.31,USA,Rockford,8.404167175292969,10.8538525390625,40.79999923706055,887,36.703407287597656
Rockford.32,USA,Rockford,8.654166221618652,10.8873046875,41,880,36.90182113647461
Rockford.33,USA,Rockford,8.762499809265137,10.894892578125,41.20000076293945,884,36.8036003112793
Rockford.34,USA,Rockford,8.404167175292969,10.794178466796875,40.900001525878906,888,36.448387145996094
Rockford.35,USA,Rockford,8.329166412353516,10.772491455078125,40.70000076293945,895,36.68024826049805
Rockford.36,USA,Rockford,8.375,10.8309423828125,41.20000076293945,872,36.77857971191406
Rockford.37,USA,Rockford,8.416666984558105,10.812646484375,41,869,36.74867248535156
Rockford.38,USA,Rockford,8.483333587646484,10.821744384765625,40.900001525878906,869,36.60150909423828
Rockford.39,USA,Rockford,8.691666603088379,10.875469970703126,41.29999923706055,866,36.9495735168457
Rockford.40,USA,Rockford,8.362500190734863,10.77212646484375,40.79999923706055,876,36.949920654296875
