Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Distance,Maximum_Distance,Standardized_Distance
North America,USA,Memphis,35.149022,-90.051629,1,35.157477,-90.048052,0.9948,18.396,0.0541
North America,USA,Memphis,35.149022,-90.051629,2,35.154191,-90.04719399999999,0.7021,18.396,0.0382
North America,USA,Memphis,35.149022,-90.051629,3,35.1515567,-90.047774,0.4498,18.396,0.0245
North America,USA,Memphis,35.149022,-90.051629,4,35.1498886,-90.04976090000001,0.1953,18.396,0.0106
North America,USA,Memphis,35.149022,-90.051629,5,35.1483,-90.045,0.608,18.396,0.0331
North America,USA,Memphis,35.149022,-90.051629,6,35.1461,-90.05251,0.3346,18.396,0.0182
North America,USA,Memphis,35.149022,-90.051629,7,35.1397,-90.0578,1.1787,18.396,0.0641
North America,USA,Memphis,35.149022,-90.051629,8,35.1351,-90.0586,1.6728,18.396,0.0909
North America,USA,Memphis,35.149022,-90.051629,9,35.1349,-90.0566821,1.6361,18.396,0.0889
North America,USA,Memphis,35.149022,-90.051629,10,35.133253100000005,-90.0566821,1.8126,18.396,0.0985
North America,USA,Memphis,35.149022,-90.051629,11,35.1296,-90.0592,2.2667,18.396,0.1232
North America,USA,Memphis,35.149022,-90.051629,12,35.1266,-90.0618,2.6592,18.396,0.1446
North America,USA,Memphis,35.149022,-90.051629,13,35.1233113,-90.0477347,2.8807,18.396,0.1566
North America,USA,Memphis,35.149022,-90.051629,14,35.1424239,-90.0454436,0.9244,18.396,0.0503
North America,USA,Memphis,35.149022,-90.051629,15,35.1178771,-90.0523351,3.4638,18.396,0.1883
North America,USA,Memphis,35.149022,-90.051629,16,35.117833000000005,-90.0467621,3.4962,18.396,0.1901
North America,USA,Memphis,35.149022,-90.051629,17,35.1073182,-90.04259509999999,4.7095,18.396,0.256
North America,USA,Memphis,35.149022,-90.051629,18,35.11397720000001,-90.04347759999999,3.9667,18.396,0.21560000000000001
North America,USA,Memphis,35.149022,-90.051629,19,35.099909100000005,-90.0413832,5.54,18.396,0.3012
North America,USA,Memphis,35.149022,-90.051629,20,35.1012699,-90.0441577,5.3531,18.396,0.291
North America,USA,Memphis,35.149022,-90.051629,21,35.095668700000004,-90.0458536,5.9558,18.396,0.3238
North America,USA,Memphis,35.149022,-90.051629,22,35.08724,-90.04474499999999,6.8983,18.396,0.375
North America,USA,Memphis,35.149022,-90.051629,23,35.086414000000005,-90.052247,6.9619,18.396,0.3784
North America,USA,Memphis,35.149022,-90.051629,24,35.085547999999996,-90.05954200000001,7.0946,18.396,0.3857
North America,USA,Memphis,35.149022,-90.051629,25,35.081421,-90.063128,7.5893,18.396,0.4126
North America,USA,Memphis,35.149022,-90.051629,26,35.070775,-90.06647199999999,8.8048,18.396,0.4786
North America,USA,Memphis,35.149022,-90.051629,27,35.06670870000001,-90.070487,9.3122,18.396,0.5062
North America,USA,Memphis,35.149022,-90.051629,28,35.062498,-90.0695307,9.7579,18.396,0.5304
North America,USA,Memphis,35.149022,-90.051629,29,35.0594326,-90.071105,10.1182,18.396,0.55
North America,USA,Memphis,35.149022,-90.051629,30,35.0571416,-90.0723591,10.3892,18.396,0.5648
North America,USA,Memphis,35.149022,-90.051629,31,35.0492,-90.078805,11.3717,18.396,0.6182
North America,USA,Memphis,35.149022,-90.051629,32,35.04874,-90.083,11.5103,18.396,0.6257
North America,USA,Memphis,35.149022,-90.051629,33,35.045993700000004,-90.0821851,11.7887,18.396,0.6408
North America,USA,Memphis,35.149022,-90.051629,34,35.0428122,-90.0816611,12.1219,18.396,0.6589
North America,USA,Memphis,35.149022,-90.051629,35,35.0421902,-90.0778522,12.1164,18.396,0.6586
North America,USA,Memphis,35.149022,-90.051629,36,35.039635499999996,-90.0783895,12.4045,18.396,0.6743
North America,USA,Memphis,35.149022,-90.051629,37,35.03505139999999,-90.0811279,12.954,18.396,0.7042
North America,USA,Memphis,35.149022,-90.051629,38,35.031308200000005,-90.0817527,13.3731,18.396,0.727
North America,USA,Memphis,35.149022,-90.051629,39,35.02678,-90.083796,13.9042,18.396,0.7558
North America,USA,Memphis,35.149022,-90.051629,40,35.0253819,-90.0894439,14.1722,18.396,0.7704
North America,USA,Memphis,35.149022,-90.051629,41,35.023140399999996,-90.0941172,14.5215,18.396,0.7894
North America,USA,Memphis,35.149022,-90.051629,42,35.01955,-90.09949,15.0409,18.396,0.8176
North America,USA,Memphis,35.149022,-90.051629,43,35.014990999999995,-90.097136,15.4681,18.396,0.8408
North America,USA,Memphis,35.149022,-90.051629,44,35.010804,-90.096485,15.9019,18.396,0.8644
North America,USA,Memphis,35.149022,-90.051629,45,35.0090448,-90.102779,16.2458,18.396,0.8831
North America,USA,Memphis,35.149022,-90.051629,46,35.0014929,-90.1074215,17.1722,18.396,0.9335
North America,USA,Memphis,35.149022,-90.051629,47,34.991289,-90.112602,18.396,18.396,1
North America,USA,Memphis,35.149022,-90.051629,48,35.091446000000005,-90.042547,6.4552,18.396,0.3509
North America,USA,Memphis,35.149022,-90.051629,49,35.091446000000005,-90.042547,6.4552,18.396,0.3509
North America,USA,Memphis,35.149022,-90.051629,50,35.050595,-90.07122700000001,11.0889,18.396,0.6028
