Country,City,City_Latitude,City_Longitude,Site_Latitude,Site_Longitude,Distance,Maximum_Distance,Standardized_Distance
USA,Portland_OR,45.516022,-122.681427,45.52163,-122.65347,2.2657,46.1447,0.0491
USA,Portland_OR,45.516022,-122.681427,45.523434,-122.678444,0.8563,46.1447,0.0186
USA,Portland_OR,45.516022,-122.681427,45.51563,-122.678444,0.2365,46.1447,0.0051
USA,Portland_OR,45.516022,-122.681427,45.514557,-122.68593,0.3868,46.1447,0.0084
USA,Portland_OR,45.516022,-122.681427,45.525158,-122.67417,1.1626,46.1447,0.0252
USA,Portland_OR,45.516022,-122.681427,45.530388,-122.66643,1.9791,46.1447,0.0429
USA,Portland_OR,45.516022,-122.681427,45.536713,-122.66273,2.723,46.1447,0.059
USA,Portland_OR,45.516022,-122.681427,45.543457,-122.666595,3.2621000000000002,46.1447,0.0707
USA,Portland_OR,45.516022,-122.681427,45.55455,-122.66588,4.452,46.1447,0.0965
USA,Portland_OR,45.516022,-122.681427,45.564075,-122.66871,5.4343,46.1447,0.1178
USA,Portland_OR,45.516022,-122.681427,45.57379,-122.66869,6.4996,46.1447,0.1409
USA,Portland_OR,45.516022,-122.681427,45.587677,-122.66908,8.0255,46.1447,0.1739
USA,Portland_OR,45.516022,-122.681427,45.612385,-122.68165,10.7151,46.1447,0.2322
USA,Portland_OR,45.516022,-122.681427,45.625652,-122.675446,12.1992,46.1447,0.2644
USA,Portland_OR,45.516022,-122.681427,45.63279,-122.67132,13.0078,46.1447,0.2819
USA,Portland_OR,45.516022,-122.681427,45.64476,-122.66846,14.3505,46.1447,0.311
USA,Portland_OR,45.516022,-122.681427,45.668167,-122.66837,16.9482,46.1447,0.3673
USA,Portland_OR,45.516022,-122.681427,45.68239,-122.66919,18.5238,46.1447,0.4014
USA,Portland_OR,45.516022,-122.681427,45.69498,-122.66753,19.9286,46.1447,0.4319
USA,Portland_OR,45.516022,-122.681427,45.703087,-122.668594,20.8246,46.1447,0.4513
USA,Portland_OR,45.516022,-122.681427,45.70952,-122.648415,21.6687,46.1447,0.4696
USA,Portland_OR,45.516022,-122.681427,45.723164,-122.65093,23.1549,46.1447,0.5018
USA,Portland_OR,45.516022,-122.681427,45.733974,-122.65264,24.3383,46.1447,0.5274
USA,Portland_OR,45.516022,-122.681427,45.748516,-122.655556,25.9303,46.1447,0.5619
USA,Portland_OR,45.516022,-122.681427,45.764366,-122.66147,27.6581,46.1447,0.5994
USA,Portland_OR,45.516022,-122.681427,45.776665,-122.6614,29.024,46.1447,0.629
USA,Portland_OR,45.516022,-122.681427,45.79048,-122.66109,30.5592,46.1447,0.6622
USA,Portland_OR,45.516022,-122.681427,45.808716,-122.66096,32.5849,46.1447,0.7061
USA,Portland_OR,45.516022,-122.681427,45.818302,-122.66158,33.6474,46.1447,0.7292
USA,Portland_OR,45.516022,-122.681427,45.830456,-122.661385,34.9981,46.1447,0.7584
USA,Portland_OR,45.516022,-122.681427,45.848812,-122.67182,37.0121,46.1447,0.8021
USA,Portland_OR,45.516022,-122.681427,45.851902,-122.685104,37.3492,46.1447,0.8094
USA,Portland_OR,45.516022,-122.681427,45.863354,-122.67378,38.6261,46.1447,0.8371
USA,Portland_OR,45.516022,-122.681427,45.873306,-122.69122,39.7354,46.1447,0.8611
USA,Portland_OR,45.516022,-122.681427,45.882553,-122.718475,40.8578,46.1447,0.8854
USA,Portland_OR,45.516022,-122.681427,45.89311,-122.72932,42.0949,46.1447,0.9122
USA,Portland_OR,45.516022,-122.681427,45.908016,-122.735115,43.7866,46.1447,0.9489
USA,Portland_OR,45.516022,-122.681427,45.914642,-122.72605,44.4597,46.1447,0.9635
USA,Portland_OR,45.516022,-122.681427,45.92692,-122.708176,45.7369,46.1447,0.9912
USA,Portland_OR,45.516022,-122.681427,45.931004,-122.677895,46.1447,46.1447,1
