Continent,Country,City,City_Latitude,City_Longitude,Population,Population_Latitude,Population_Longitude,Distance,Maximum_Distance,Standardized_Distance
Europe,Sweden,Stockholm,59.329323,18.068581,1,59.331,18.0609,0.4739,11.0249,0.043
Europe,Sweden,Stockholm,59.329323,18.068581,2,59.3301,18.0725,0.2385,11.0249,0.0216
Europe,Sweden,Stockholm,59.329323,18.068581,3,59.3171,18.0766,1.4333,11.0249,0.13
Europe,Sweden,Stockholm,59.329323,18.068581,4,59.3123,18.086,2.1353,11.0249,0.1937
Europe,Sweden,Stockholm,59.329323,18.068581,5,59.3097,18.0924,2.5666,11.0249,0.2328
Europe,Sweden,Stockholm,59.329323,18.068581,6,59.3079,18.0887,2.6415,11.0249,0.2396
Europe,Sweden,Stockholm,59.329323,18.068581,7,59.3062,18.0822,2.6848,11.0249,0.2435
Europe,Sweden,Stockholm,59.329323,18.068581,8,59.3023,18.0803,3.0775,11.0249,0.2791
Europe,Sweden,Stockholm,59.329323,18.068581,9,59.3004,18.0833,3.3228,11.0249,0.3014
Europe,Sweden,Stockholm,59.329323,18.068581,10,59.2935,18.0702,3.9844,11.0249,0.3614
Europe,Sweden,Stockholm,59.329323,18.068581,11,59.2906,18.0682,4.3059,11.0249,0.3906
Europe,Sweden,Stockholm,59.329323,18.068581,12,59.2851,18.0734,4.925,11.0249,0.4467
Europe,Sweden,Stockholm,59.329323,18.068581,13,59.2814,18.0698,5.3292,11.0249,0.4834
Europe,Sweden,Stockholm,59.329323,18.068581,14,59.2851,18.0617,4.9329,11.0249,0.4474
Europe,Sweden,Stockholm,59.329323,18.068581,15,59.2877,18.054,4.7017,11.0249,0.4265
Europe,Sweden,Stockholm,59.329323,18.068581,16,59.2815,18.0474,5.4519,11.0249,0.4945
Europe,Sweden,Stockholm,59.329323,18.068581,17,59.2782,18.0464,5.8224,11.0249,0.5281
Europe,Sweden,Stockholm,59.329323,18.068581,18,59.2771,18.0412,6.0113,11.0249,0.5452
Europe,Sweden,Stockholm,59.329323,18.068581,19,59.2734,18.0361,6.486,11.0249,0.5883
Europe,Sweden,Stockholm,59.329323,18.068581,20,59.2758,18.0373,6.2107,11.0249,0.5633
Europe,Sweden,Stockholm,59.329323,18.068581,21,59.2746,18.0296,6.4748,11.0249,0.5873
Europe,Sweden,Stockholm,59.329323,18.068581,22,59.2675,18.0298,7.2184,11.0249,0.6547
Europe,Sweden,Stockholm,59.329323,18.068581,23,59.2652,18.0306,7.4491,11.0249,0.6757
Europe,Sweden,Stockholm,59.329323,18.068581,24,59.2676,18.0362,7.1052,11.0249,0.6445
Europe,Sweden,Stockholm,59.329323,18.068581,25,59.2651,18.0372,7.3602,11.0249,0.6676
Europe,Sweden,Stockholm,59.329323,18.068581,26,59.2626,18.0394,7.602,11.0249,0.6895
Europe,Sweden,Stockholm,59.329323,18.068581,27,59.2613,18.038,7.7605,11.0249,0.7039
Europe,Sweden,Stockholm,59.329323,18.068581,28,59.2578,18.0291,8.2629,11.0249,0.7495
Europe,Sweden,Stockholm,59.329323,18.068581,29,59.2567,18.0314,8.3467,11.0249,0.7571
Europe,Sweden,Stockholm,59.329323,18.068581,30,59.2569,18.038,8.2382,11.0249,0.7472
Europe,Sweden,Stockholm,59.329323,18.068581,31,59.2529,18.0347,8.7129,11.0249,0.7903
Europe,Sweden,Stockholm,59.329323,18.068581,32,59.2536,18.0404,8.5707,11.0249,0.7774
Europe,Sweden,Stockholm,59.329323,18.068581,33,59.2527,18.0319,8.771,11.0249,0.7956
Europe,Sweden,Stockholm,59.329323,18.068581,34,59.2645,18.0322,7.4981,11.0249,0.6801
Europe,Sweden,Stockholm,59.329323,18.068581,35,59.2464,18.0417,9.3461,11.0249,0.8477
Europe,Sweden,Stockholm,59.329323,18.068581,36,59.2448,18.0291,9.6623,11.0249,0.8764
Europe,Sweden,Stockholm,59.329323,18.068581,37,59.2435,18.024,9.8732,11.0249,0.8955
Europe,Sweden,Stockholm,59.329323,18.068581,38,59.2401,18.0221,10.2664,11.0249,0.9312
Europe,Sweden,Stockholm,59.329323,18.068581,39,59.2371,18.0349,10.4316,11.0249,0.9462
Europe,Sweden,Stockholm,59.329323,18.068581,40,59.2402,18.0411,10.0322,11.0249,0.91
Europe,Sweden,Stockholm,59.329323,18.068581,41,59.2408,18.05,9.8997,11.0249,0.8979
Europe,Sweden,Stockholm,59.329323,18.068581,42,59.2306,18.0506,11.0249,11.0249,1
Europe,Sweden,Stockholm,59.329323,18.068581,43,59.2315,18.0737,10.8813,11.0249,0.987
Europe,Sweden,Stockholm,59.329323,18.068581,44,59.2315,18.0643,10.8801,11.0249,0.9869
Europe,Sweden,Stockholm,59.329323,18.068581,45,59.2396,18.0598,9.9892,11.0249,0.9061
