Country,City,City_Latitude,City_Longitude,Site_Latitude,Site_Longitude,Distance,Maximum_Distance,Standardized_Distance
Canada,Toronto,43.653225,-79.383186,44.0302644,-79.5273892,43.4907,47.5842,0.914
Canada,Toronto,43.653225,-79.383186,44.0196844,-79.5253759,42.3143,47.5842,0.8893
Canada,Toronto,43.653225,-79.383186,44.0105694,-79.523162,41.2907,47.5842,0.8677
Canada,Toronto,43.653225,-79.383186,43.9990692,-79.5199722,39.991,47.5842,0.8404
Canada,Toronto,43.653225,-79.383186,43.9933826,-79.5192563,39.3675,47.5842,0.8273
Canada,Toronto,43.653225,-79.383186,43.9856808,-79.5169013,38.4926,47.5842,0.8089
Canada,Toronto,43.653225,-79.383186,43.9776803,-79.515582,37.6092,47.5842,0.7904
Canada,Toronto,43.653225,-79.383186,43.9695695,-79.5128282,36.6818,47.5842,0.7709
Canada,Toronto,43.653225,-79.383186,43.9573634,-79.5106367,35.3314,47.5842,0.7425
Canada,Toronto,43.653225,-79.383186,43.9519455,-79.5094726,34.7279,47.5842,0.7298
Canada,Toronto,43.653225,-79.383186,43.9427566,-79.5068259,33.689,47.5842,0.708
Canada,Toronto,43.653225,-79.383186,43.9338555,-79.5047083,32.693600000000004,47.5842,0.6871
Canada,Toronto,43.653225,-79.383186,43.9244124,-79.5030552,31.6526,47.5842,0.6652
Canada,Toronto,43.653225,-79.383186,43.9158846,-79.5004679,30.6864,47.5842,0.6449
Canada,Toronto,43.653225,-79.383186,43.9068322,-79.498745,29.6867,47.5842,0.6239
Canada,Toronto,43.653225,-79.383186,43.8975557,-79.4965579,28.6526,47.5842,0.6021
Canada,Toronto,43.653225,-79.383186,43.888435,-79.4943547,27.6355,47.5842,0.5808
Canada,Toronto,43.653225,-79.383186,43.8811002,-79.492408,26.8135,47.5842,0.5635
Canada,Toronto,43.653225,-79.383186,43.8706546,-79.4896092,25.6432,47.5842,0.5389
Canada,Toronto,43.653225,-79.383186,43.8615047,-79.4879364,24.6403,47.5842,0.5178
Canada,Toronto,43.653225,-79.383186,43.8503845,-79.4852071,23.4045,47.5842,0.4919
Canada,Toronto,43.653225,-79.383186,43.8359827,-79.4818319,21.8121,47.5842,0.4584
Canada,Toronto,43.653225,-79.383186,43.8241813,-79.4790051,20.509,47.5842,0.431
Canada,Toronto,43.653225,-79.383186,43.8135903,-79.4764306,19.3417,47.5842,0.4065
Canada,Toronto,43.653225,-79.383186,43.8045586,-79.4747193,18.3646,47.5842,0.3859
Canada,Toronto,43.653225,-79.383186,43.792533,-79.4718266,17.0496,47.5842,0.3583
Canada,Toronto,43.653225,-79.383186,43.7813717,-79.4713046,15.9121,47.5842,0.3344
Canada,Toronto,43.653225,-79.383186,43.7723621,-79.4679862,14.8979,47.5842,0.3131
Canada,Toronto,43.653225,-79.383186,43.7626487,-79.4658666,13.864,47.5842,0.2914
Canada,Toronto,43.653225,-79.383186,43.7518837,-79.4640439,12.7514,47.5842,0.268
Canada,Toronto,43.653225,-79.383186,43.7452682,-79.4361583,11.0853,47.5842,0.233
Canada,Toronto,43.653225,-79.383186,43.7369396,-79.4335351,10.1507,47.5842,0.2133
Canada,Toronto,43.653225,-79.383186,43.7248584,-79.4308215,8.8383,47.5842,0.1857
Canada,Toronto,43.653225,-79.383186,43.7147905,-79.4289794,7.7733,47.5842,0.1634
Canada,Toronto,43.653225,-79.383186,43.7041409,-79.4266594,6.654,47.5842,0.1398
Canada,Toronto,43.653225,-79.383186,43.6941634,-79.4229675,5.564,47.5842,0.1169
Canada,Toronto,43.653225,-79.383186,43.6831523,-79.4197532,4.4413,47.5842,0.0933
Canada,Toronto,43.653225,-79.383186,43.6719853,-79.4142066,3.2524,47.5842,0.0684
Canada,Toronto,43.653225,-79.383186,43.6634679,-79.4120088,2.5833,47.5842,0.0543
Canada,Toronto,43.653225,-79.383186,43.6571995,-79.40756,2.0101,47.5842,0.0422
Canada,Toronto,43.653225,-79.383186,43.6499428,-79.404773,1.7747,47.5842,0.0373
Canada,Toronto,43.653225,-79.383186,43.6429975,-79.4033722,1.9827,47.5842,0.0417
Canada,Toronto,43.653225,-79.383186,43.6347131,-79.3992048,2.4287,47.5842,0.051
