Country,City,City_Latitude,City_Longitude,Site_Latitude,Site_Longitude,Distance,Maximum_Distance,Standardized_Distance
Canada,Vancouver,49.28273,-123.120735,49.282293,-123.129048,0.6049,46.5974,0.013
Canada,Vancouver,49.28273,-123.120735,49.276309000000005,-123.12381299999998,0.7481,46.5974,0.0161
Canada,Vancouver,49.28273,-123.120735,49.278127000000005,-123.105642,1.2086,46.5974,0.0259
Canada,Vancouver,49.28273,-123.120735,49.277505,-123.09722,1.802,46.5974,0.0387
Canada,Vancouver,49.28273,-123.120735,49.274328999999994,-123.083249,2.8753,46.5974,0.0617
Canada,Vancouver,49.28273,-123.120735,49.265116,-123.081744,3.4406,46.5974,0.0738
Canada,Vancouver,49.28273,-123.120735,49.257893,-123.061513,5.1078,46.5974,0.1096
Canada,Vancouver,49.28273,-123.120735,49.240257,-123.0389197,7.5864,46.5974,0.1628
Canada,Vancouver,49.28273,-123.120735,49.244314,-123.049398,6.7114,46.5974,0.144
Canada,Vancouver,49.28273,-123.120735,49.240155,-123.03673700000002,7.7179,46.5974,0.1656
Canada,Vancouver,49.28273,-123.120735,49.23637,-123.036716,7.9844,46.5974,0.1713
Canada,Vancouver,49.28273,-123.120735,49.22923,-123.037661,8.4699,46.5974,0.1818
Canada,Vancouver,49.28273,-123.120735,49.228152,-123.020625,9.4667,46.5974,0.2032
Canada,Vancouver,49.28273,-123.120735,49.227965000000005,-123.008758,10.1552,46.5974,0.2179
Canada,Vancouver,49.28273,-123.120735,49.218284999999995,-122.99572,11.5623,46.5974,0.2481
Canada,Vancouver,49.28273,-123.120735,49.215017,-122.983714,12.4743,46.5974,0.2677
Canada,Vancouver,49.28273,-123.120735,49.214627,-122.966103,13.5398,46.5974,0.2906
Canada,Vancouver,49.28273,-123.120735,49.212194,-122.95404,14.4196,46.5974,0.3095
Canada,Vancouver,49.28273,-123.120735,49.216229,-122.933832,15.4506,46.5974,0.3316
Canada,Vancouver,49.28273,-123.120735,49.207035999999995,-122.911225,17.3822,46.5974,0.373
Canada,Vancouver,49.28273,-123.120735,49.180671,-122.881462,20.7517,46.5974,0.4453
Canada,Vancouver,49.28273,-123.120735,49.174142,-122.878223,21.352,46.5974,0.4582
Canada,Vancouver,49.28273,-123.120735,49.172919,-122.862662,22.3672,46.5974,0.48
Canada,Vancouver,49.28273,-123.120735,49.166544,-122.855585,23.1879,46.5974,0.4976
Canada,Vancouver,49.28273,-123.120735,49.155351,-122.84542,24.5041,46.5974,0.5259
Canada,Vancouver,49.28273,-123.120735,49.140671999999995,-122.842542,25.6491,46.5974,0.5504
Canada,Vancouver,49.28273,-123.120735,49.133492,-122.819006,27.4923,46.5974,0.59
Canada,Vancouver,49.28273,-123.120735,49.131058,-122.810806,28.1314,46.5974,0.6037
Canada,Vancouver,49.28273,-123.120735,49.117878999999995,-122.812421,28.945,46.5974,0.6212
Canada,Vancouver,49.28273,-123.120735,49.111793,-122.808444,29.6003,46.5974,0.6352
Canada,Vancouver,49.28273,-123.120735,49.097264,-122.778887,32.2871,46.5974,0.6929
Canada,Vancouver,49.28273,-123.120735,49.100829,-122.75642,33.3167,46.5974,0.715
Canada,Vancouver,49.28273,-123.120735,49.086032,-122.757015,34.3102,46.5974,0.7363
Canada,Vancouver,49.28273,-123.120735,49.075014,-122.75333,35.3083,46.5974,0.7577
Canada,Vancouver,49.28273,-123.120735,49.074488,-122.713602,37.5761,46.5974,0.8064
Canada,Vancouver,49.28273,-123.120735,49.055723,-122.717755,38.6717,46.5974,0.8299
Canada,Vancouver,49.28273,-123.120735,49.041195,-122.71745,39.7645,46.5974,0.8534
Canada,Vancouver,49.28273,-123.120735,49.031038,-122.692091,41.8915,46.5974,0.899
Canada,Vancouver,49.28273,-123.120735,49.017047,-122.657371,44.8162,46.5974,0.9618
Canada,Vancouver,49.28273,-123.120735,49.00466,-122.641478,46.5974,46.5974,1
