UID,Country,City,Distance
Athens.1,USA,Athens,5.22446533724035
Athens.2,USA,Athens,5.059434806261141
Athens.3,USA,Athens,3.624491089225881
Athens.4,USA,Athens,3.5560869921942526
Athens.5,USA,Athens,1.7664439119449364
Athens.6,USA,Athens,1.0964331171982187
Athens.7,USA,Athens,0.5104128795726282
Athens.8,USA,Athens,0.35594143513180304
Athens.9,USA,Athens,0.41461580714559165
Athens.10,USA,Athens,0.71294736971361
Athens.11,USA,Athens,1.1237561427489218
Athens.12,USA,Athens,1.9483294532482531
Athens.13,USA,Athens,2.5963490682726915
Athens.14,USA,Athens,2.9486332910943283
Athens.15,USA,Athens,5.285856450796188
Athens.16,USA,Athens,5.669673494800796
Athens.17,USA,Athens,7.899692929976477
Athens.18,USA,Athens,8.220655656936161
Athens.19,USA,Athens,9.578357280411561
Athens.20,USA,Athens,10.84461722954123
Athens.21,USA,Athens,12.518830247741457
Athens.22,USA,Athens,15.030229074131356
Athens.23,USA,Athens,16.07682322194616
Athens.24,USA,Athens,17.492856879716093
Athens.25,USA,Athens,13.273216631660976
Athens.26,USA,Athens,6.029152919810167
Athens.27,USA,Athens,6.991415138647171
Athens.28,USA,Athens,7.414057894734856
