UID,Country,City,Distance
Frankfurt.1,Germany,Frankfurt,3.5267687134685253
Frankfurt.2,Germany,Frankfurt,3.136593816816122
Frankfurt.3,Germany,Frankfurt,2.3903404663833103
Frankfurt.4,Germany,Frankfurt,1.8541738459007007
Frankfurt.5,Germany,Frankfurt,1.6195149268291926
Frankfurt.6,Germany,Frankfurt,0.9464668918306143
Frankfurt.7,Germany,Frankfurt,0.4849028623208301
Frankfurt.8,Germany,Frankfurt,0.24858680690735535
Frankfurt.9,Germany,Frankfurt,0.6286060849676333
Frankfurt.10,Germany,Frankfurt,1.029528900755565
Frankfurt.11,Germany,Frankfurt,1.64538857761976
Frankfurt.12,Germany,Frankfurt,2.2386859285282372
Frankfurt.13,Germany,Frankfurt,2.6588510221238075
Frankfurt.14,Germany,Frankfurt,3.057653549642823
Frankfurt.15,Germany,Frankfurt,3.7573841496187335
Frankfurt.16,Germany,Frankfurt,4.005792439728698
Frankfurt.17,Germany,Frankfurt,4.488406193797152
Frankfurt.18,Germany,Frankfurt,4.959970551780854
Frankfurt.19,Germany,Frankfurt,5.518754344864541
Frankfurt.20,Germany,Frankfurt,6.25180616003144
Frankfurt.21,Germany,Frankfurt,6.526526344234975
Frankfurt.22,Germany,Frankfurt,7.04115570152555
Frankfurt.23,Germany,Frankfurt,7.674425846337285
Frankfurt.24,Germany,Frankfurt,7.847503090006974
Frankfurt.25,Germany,Frankfurt,8.370079208908722
Frankfurt.26,Germany,Frankfurt,9.228394318479111
Frankfurt.27,Germany,Frankfurt,9.73362699304566
Frankfurt.28,Germany,Frankfurt,10.041020365077008
Frankfurt.29,Germany,Frankfurt,10.502034880761249
Frankfurt.30,Germany,Frankfurt,11.230624395213297
Frankfurt.31,Germany,Frankfurt,11.592390684765522
Frankfurt.32,Germany,Frankfurt,12.01980721811356
Frankfurt.33,Germany,Frankfurt,12.581340300925358
Frankfurt.34,Germany,Frankfurt,12.872203677146842
Frankfurt.35,Germany,Frankfurt,13.734991668785478
Frankfurt.36,Germany,Frankfurt,13.78341467499674
Frankfurt.37,Germany,Frankfurt,14.399857477029038
Frankfurt.38,Germany,Frankfurt,15.224907460530847
Frankfurt.39,Germany,Frankfurt,15.794411756839468
Frankfurt.40,Germany,Frankfurt,16.050255583266885
Frankfurt.41,Germany,Frankfurt,17.048726471041643
