UID,Country,City,Distance
Hempstead.1,USA,Hempstead,0.2064355925106978
Hempstead.2,USA,Hempstead,0.44910358765747377
Hempstead.3,USA,Hempstead,0.5630202134726224
Hempstead.4,USA,Hempstead,0.9626162218307767
Hempstead.5,USA,Hempstead,1.4284734182161813
Hempstead.6,USA,Hempstead,1.8913390481477161
Hempstead.7,USA,Hempstead,2.180508281034414
Hempstead.8,USA,Hempstead,2.3443976205929986
Hempstead.9,USA,Hempstead,2.5838052200305652
Hempstead.10,USA,Hempstead,2.8723542311216206
Hempstead.11,USA,Hempstead,3.1972149911080328
Hempstead.12,USA,Hempstead,3.545679802999078
Hempstead.13,USA,Hempstead,3.8962849464954417
Hempstead.14,USA,Hempstead,4.263275533596646
Hempstead.15,USA,Hempstead,4.561463206050454
Hempstead.16,USA,Hempstead,4.981048136834706
Hempstead.17,USA,Hempstead,5.342247687633374
Hempstead.18,USA,Hempstead,5.624493564889131
Hempstead.19,USA,Hempstead,5.900815121233168
Hempstead.20,USA,Hempstead,6.1952344351261495
Hempstead.21,USA,Hempstead,6.517390284486694
Hempstead.22,USA,Hempstead,6.933197992795715
Hempstead.23,USA,Hempstead,7.395643969018706
Hempstead.24,USA,Hempstead,7.838174102867444
Hempstead.25,USA,Hempstead,8.210253607404727
Hempstead.26,USA,Hempstead,8.45918128322333
Hempstead.27,USA,Hempstead,8.790293553980593
Hempstead.28,USA,Hempstead,9.190665520946158
Hempstead.29,USA,Hempstead,9.534500713794001
Hempstead.30,USA,Hempstead,9.84173295970683
Hempstead.31,USA,Hempstead,10.206162081731739
Hempstead.32,USA,Hempstead,10.401898893752689
Hempstead.33,USA,Hempstead,10.8090341775244
Hempstead.34,USA,Hempstead,11.232133268030136
Hempstead.35,USA,Hempstead,11.57947306261086
Hempstead.36,USA,Hempstead,11.775286513814454
Hempstead.37,USA,Hempstead,12.072086627909043
Hempstead.38,USA,Hempstead,12.509657148594924
Hempstead.39,USA,Hempstead,12.9426897747675
