UID,Country,City,Distance
Manchester.1,UK,Manchester,0.651452603655454
Manchester.2,UK,Manchester,1.0271300290853056
Manchester.3,UK,Manchester,1.6485034906515292
Manchester.4,UK,Manchester,2.501479271428438
Manchester.5,UK,Manchester,2.9209991759130896
Manchester.6,UK,Manchester,3.4319844307195164
Manchester.7,UK,Manchester,3.8144656485422286
Manchester.8,UK,Manchester,4.56401753402147
Manchester.9,UK,Manchester,5.670521939592358
Manchester.10,UK,Manchester,6.181747018030651
Manchester.11,UK,Manchester,3.4319844307195164
Manchester.12,UK,Manchester,7.306427561539373
Manchester.13,UK,Manchester,7.879294813148868
Manchester.14,UK,Manchester,8.665493431808091
Manchester.15,UK,Manchester,10.098441940836388
Manchester.16,UK,Manchester,9.873146764407995
Manchester.17,UK,Manchester,10.52913075949246
Manchester.18,UK,Manchester,11.529187562877418
Manchester.19,UK,Manchester,12.171262849831649
Manchester.20,UK,Manchester,12.693436601126386
Manchester.21,UK,Manchester,13.62953705369599
Manchester.22,UK,Manchester,14.79762594642797
Manchester.23,UK,Manchester,15.399307133112627
Manchester.24,UK,Manchester,16.11572328904225
Manchester.25,UK,Manchester,16.821599358345768
Manchester.26,UK,Manchester,19.09074808960813
Manchester.27,UK,Manchester,20.039844668434156
Manchester.28,UK,Manchester,20.665281855375646
Manchester.29,UK,Manchester,21.568292353603685
Manchester.30,UK,Manchester,23.677997889859206
Manchester.31,UK,Manchester,23.95379404744629
Manchester.32,UK,Manchester,25.700644105008127
Manchester.33,UK,Manchester,26.70084810126725
Manchester.34,UK,Manchester,27.07788262738314
Manchester.35,UK,Manchester,28.07781909177455
Manchester.36,UK,Manchester,28.31104383630438
Manchester.37,UK,Manchester,28.687672386873604
Manchester.38,UK,Manchester,31.172857527924254
Manchester.39,UK,Manchester,31.554925912325885
Manchester.40,UK,Manchester,33.118396797859724
