UID,Country,City,Distance
Morelia.1,Mexico,Morelia,0.05997655108711294
Morelia.2,Mexico,Morelia,0.42646015942426074
Morelia.3,Mexico,Morelia,1.2636479892688612
Morelia.4,Mexico,Morelia,1.7595141323670243
Morelia.5,Mexico,Morelia,1.5666555144887002
Morelia.6,Mexico,Morelia,0.768755096593861
Morelia.7,Mexico,Morelia,1.7317715189113616
Morelia.8,Mexico,Morelia,1.8235838572561587
Morelia.9,Mexico,Morelia,1.5968722314319674
Morelia.10,Mexico,Morelia,2.296227717928548
Morelia.11,Mexico,Morelia,1.8264092414070867
Morelia.12,Mexico,Morelia,1.6937074066290656
Morelia.13,Mexico,Morelia,1.7683611777635024
Morelia.14,Mexico,Morelia,1.961117622985795
Morelia.15,Mexico,Morelia,5.837116797283971
Morelia.16,Mexico,Morelia,3.808708161843224
Morelia.17,Mexico,Morelia,3.8060800749376917
Morelia.18,Mexico,Morelia,4.415121356002685
Morelia.19,Mexico,Morelia,5.527385501207636
Morelia.20,Mexico,Morelia,5.380868697313838
Morelia.21,Mexico,Morelia,5.500654559727819
Morelia.22,Mexico,Morelia,6.066495765120413
Morelia.23,Mexico,Morelia,6.962192303018032
Morelia.24,Mexico,Morelia,6.973388762126245
Morelia.25,Mexico,Morelia,7.090573423323778
Morelia.26,Mexico,Morelia,6.9162047878586375
Morelia.27,Mexico,Morelia,7.004276585125479
Morelia.28,Mexico,Morelia,7.474546570729893
Morelia.29,Mexico,Morelia,8.094900591214492
Morelia.30,Mexico,Morelia,8.034169169233886
Morelia.31,Mexico,Morelia,8.043685840408724
Morelia.32,Mexico,Morelia,8.455204384023244
Morelia.33,Mexico,Morelia,8.27399546338889
Morelia.34,Mexico,Morelia,8.775241701667227
Morelia.35,Mexico,Morelia,10.188276097355297
Morelia.36,Mexico,Morelia,10.496055049255402
Morelia.37,Mexico,Morelia,10.862486316673516
Morelia.38,Mexico,Morelia,3.1169144010378464
Morelia.39,Mexico,Morelia,5.8022052651439875
Morelia.40,Mexico,Morelia,0.7961167537833147
