UID,Country,City,Distance
Munich.1,Germany,Munich,19.786512337307258
Munich.2,Germany,Munich,19.58043405363546
Munich.3,Germany,Munich,18.89413045288191
Munich.4,Germany,Munich,18.507337314130773
Munich.5,Germany,Munich,17.98070380862162
Munich.6,Germany,Munich,17.730615140157393
Munich.7,Germany,Munich,17.31000351959907
Munich.8,Germany,Munich,16.963828162383866
Munich.9,Germany,Munich,16.637681397224
Munich.10,Germany,Munich,16.26151387520256
Munich.11,Germany,Munich,15.933229507610704
Munich.12,Germany,Munich,15.400673155605544
Munich.13,Germany,Munich,14.88013097424356
Munich.14,Germany,Munich,14.655266730326243
Munich.15,Germany,Munich,14.194818986641241
Munich.16,Germany,Munich,13.747912331079926
Munich.17,Germany,Munich,13.473175442229241
Munich.18,Germany,Munich,13.152387120240872
Munich.19,Germany,Munich,12.66001892757814
Munich.20,Germany,Munich,12.32557887744347
Munich.21,Germany,Munich,11.901703038749606
Munich.22,Germany,Munich,11.455390349903816
Munich.23,Germany,Munich,10.831885200422942
Munich.24,Germany,Munich,10.453784772015164
Munich.25,Germany,Munich,10.210819343477036
Munich.26,Germany,Munich,9.84860557831316
Munich.27,Germany,Munich,9.478886483333893
Munich.28,Germany,Munich,9.023847362220426
Munich.29,Germany,Munich,8.665698949332832
Munich.30,Germany,Munich,8.298488411909325
Munich.31,Germany,Munich,8.145199538943867
Munich.32,Germany,Munich,7.63876853282881
Munich.33,Germany,Munich,7.391329982601648
Munich.34,Germany,Munich,6.846197205474692
Munich.35,Germany,Munich,6.3607650894196635
Munich.36,Germany,Munich,6.116146336128128
Munich.37,Germany,Munich,5.682192520030315
Munich.38,Germany,Munich,5.202913971047046
Munich.39,Germany,Munich,4.834390282777152
Munich.40,Germany,Munich,4.376900150812209
Munich.41,Germany,Munich,3.913365495058106
Munich.42,Germany,Munich,3.602419657578664
Munich.43,Germany,Munich,3.221779580863952
Munich.44,Germany,Munich,2.870267398956051
Munich.45,Germany,Munich,2.2405751359660577
Munich.46,Germany,Munich,1.658975622958567
Munich.47,Germany,Munich,1.3338783124683027
Munich.48,Germany,Munich,1.150903194542263
Munich.49,Germany,Munich,0.9052251276158926
Munich.50,Germany,Munich,0.54491280982323
Munich.51,Germany,Munich,0.08494820619190224
