UID,Country,City,Distance
Cambridge.1,UK,Cambridge,1.6974550754346935
Cambridge.2,UK,Cambridge,6.716694466336412
Cambridge.3,UK,Cambridge,5.262231465168262
Cambridge.4,UK,Cambridge,6.803358910149753
Cambridge.5,UK,Cambridge,5.9045594852562635
Cambridge.6,UK,Cambridge,6.677172953613687
Cambridge.7,UK,Cambridge,9.080956866257209
Cambridge.8,UK,Cambridge,6.3213238148612465
Cambridge.9,UK,Cambridge,2.3216703354190242
Cambridge.10,UK,Cambridge,8.705104546791054
Cambridge.11,UK,Cambridge,6.50279754445251
Cambridge.12,UK,Cambridge,6.957429069726165
Cambridge.13,UK,Cambridge,4.340379293248856
Cambridge.14,UK,Cambridge,8.191222228963984
Cambridge.15,UK,Cambridge,2.293736145552976
Cambridge.16,UK,Cambridge,8.597789449164512
Cambridge.17,UK,Cambridge,3.4157817648101156
Cambridge.18,UK,Cambridge,5.838722222245777
Cambridge.19,UK,Cambridge,8.899476140356613
Cambridge.20,UK,Cambridge,7.12035481076215
Cambridge.21,UK,Cambridge,7.3281419216464325
Cambridge.22,UK,Cambridge,2.182739097215707
Cambridge.23,UK,Cambridge,1.6610338763018364
Cambridge.24,UK,Cambridge,7.350565457465809
Cambridge.25,UK,Cambridge,5.523533646543139
Cambridge.26,UK,Cambridge,4.782953169189112
Cambridge.27,UK,Cambridge,4.674719168149691
Cambridge.28,UK,Cambridge,6.328903556882502
Cambridge.29,UK,Cambridge,3.3790443760306625
Cambridge.30,UK,Cambridge,7.754670665073668
Cambridge.31,UK,Cambridge,3.6393596007870346
Cambridge.32,UK,Cambridge,8.563702195821133
Cambridge.33,UK,Cambridge,6.975219249094362
Cambridge.34,UK,Cambridge,3.8948141637266662
Cambridge.35,UK,Cambridge,8.759607584680767
Cambridge.36,UK,Cambridge,7.789448960980815
Cambridge.37,UK,Cambridge,8.007835546573144
Cambridge.38,UK,Cambridge,7.957732596902677
Cambridge.39,UK,Cambridge,3.605715758850083
Cambridge.40,UK,Cambridge,6.148368443323774
