UID,Country,City,Distance
Charlotte.1,USA,Charlotte,34.20972884558701
Charlotte.2,USA,Charlotte,35.77806406611188
Charlotte.3,USA,Charlotte,21.932965639232016
Charlotte.4,USA,Charlotte,31.605282786986606
Charlotte.5,USA,Charlotte,22.22596551594515
Charlotte.6,USA,Charlotte,28.62863677068828
Charlotte.7,USA,Charlotte,21.114384572245015
Charlotte.8,USA,Charlotte,6.239464794404355
Charlotte.9,USA,Charlotte,24.768652391551356
Charlotte.10,USA,Charlotte,37.91065717407601
Charlotte.11,USA,Charlotte,12.614202537507119
Charlotte.12,USA,Charlotte,37.23058605335679
Charlotte.13,USA,Charlotte,26.608284653781336
Charlotte.14,USA,Charlotte,35.30166164901614
Charlotte.15,USA,Charlotte,36.718006003206376
Charlotte.16,USA,Charlotte,12.296705190208858
Charlotte.17,USA,Charlotte,22.978793369178764
Charlotte.18,USA,Charlotte,22.201505124734332
Charlotte.19,USA,Charlotte,26.863035467632578
Charlotte.20,USA,Charlotte,28.861091162117706
Charlotte.21,USA,Charlotte,24.24675998753908
Charlotte.22,USA,Charlotte,31.5912356588864
Charlotte.23,USA,Charlotte,10.101670165767569
Charlotte.24,USA,Charlotte,15.452483528911824
Charlotte.25,USA,Charlotte,37.34311929319638
Charlotte.26,USA,Charlotte,27.781134112379227
Charlotte.27,USA,Charlotte,13.74898907630624
Charlotte.28,USA,Charlotte,14.337267056310274
Charlotte.29,USA,Charlotte,21.633772509187253
Charlotte.30,USA,Charlotte,38.2244477928526
Charlotte.31,USA,Charlotte,27.157794389125666
Charlotte.32,USA,Charlotte,15.529452183530896
Charlotte.33,USA,Charlotte,19.013810910917865
Charlotte.34,USA,Charlotte,28.566090374172443
Charlotte.35,USA,Charlotte,37.84892868266837
Charlotte.36,USA,Charlotte,11.391383524656199
Charlotte.37,USA,Charlotte,21.28350198114401
Charlotte.38,USA,Charlotte,19.811034663334684
Charlotte.39,USA,Charlotte,23.682212174434586
Charlotte.40,USA,Charlotte,33.74646062987257
