UID,Country,City,Distance
Kunming.1,China,Kunming,17.084413120992757
Kunming.2,China,Kunming,6.595477119781839
Kunming.3,China,Kunming,4.559872141456591
Kunming.4,China,Kunming,19.8016835887306
Kunming.5,China,Kunming,6.513710129400908
Kunming.6,China,Kunming,2.3519643199612563
Kunming.7,China,Kunming,6.036428900021353
Kunming.8,China,Kunming,10.589264325195947
Kunming.9,China,Kunming,4.488869493790302
Kunming.10,China,Kunming,11.967298958458281
Kunming.11,China,Kunming,20.814534335649157
Kunming.12,China,Kunming,17.155089662874513
Kunming.13,China,Kunming,20.9393852894548
Kunming.14,China,Kunming,11.61368379260273
Kunming.15,China,Kunming,10.43910362964474
Kunming.16,China,Kunming,20.810720097787108
Kunming.17,China,Kunming,16.34657443518955
Kunming.18,China,Kunming,20.666693530290182
Kunming.19,China,Kunming,10.97789579310128
Kunming.20,China,Kunming,10.281937439760448
Kunming.21,China,Kunming,13.415315272439377
Kunming.22,China,Kunming,13.271663333938804
Kunming.23,China,Kunming,4.6626312611908896
Kunming.24,China,Kunming,11.869271740478869
Kunming.25,China,Kunming,17.513815924898697
Kunming.26,China,Kunming,11.672031225065851
Kunming.27,China,Kunming,8.858623656322067
Kunming.28,China,Kunming,16.169999758322504
Kunming.29,China,Kunming,13.330078069988579
Kunming.30,China,Kunming,8.841283235862074
Kunming.31,China,Kunming,20.646306930386665
Kunming.32,China,Kunming,17.90959889522759
Kunming.33,China,Kunming,13.607029713671942
Kunming.34,China,Kunming,13.776780650049595
Kunming.35,China,Kunming,15.70221780083039
Kunming.36,China,Kunming,5.624830960253521
Kunming.37,China,Kunming,17.393250701949672
Kunming.38,China,Kunming,15.23417485702332
Kunming.39,China,Kunming,18.682038346929264
Kunming.40,China,Kunming,17.402147611814637
Kunming.41,China,Kunming,13.089828365742424
Kunming.42,China,Kunming,4.702638723774191
Kunming.43,China,Kunming,21.003087488362898
Kunming.44,China,Kunming,21.278613094136983
Kunming.45,China,Kunming,16.47388896816593
Kunming.46,China,Kunming,12.844574799725189
Kunming.47,China,Kunming,18.484423280355507
Kunming.48,China,Kunming,16.957379498603537
Kunming.49,China,Kunming,19.035790990646547
Kunming.50,China,Kunming,14.288235263913226
