UID,Country,City,Distance
Cleveland.1,USA,Cleveland,0.9141452923988778
Cleveland.2,USA,Cleveland,0.47915094696247257
Cleveland.3,USA,Cleveland,1.1348294240277477
Cleveland.4,USA,Cleveland,1.5038276494247569
Cleveland.5,USA,Cleveland,2.3130772450813493
Cleveland.6,USA,Cleveland,3.357531706118256
Cleveland.7,USA,Cleveland,4.165933546780865
Cleveland.8,USA,Cleveland,5.102458353421673
Cleveland.9,USA,Cleveland,6.930346625972231
Cleveland.10,USA,Cleveland,7.8676254570060555
Cleveland.11,USA,Cleveland,8.882636474896202
Cleveland.12,USA,Cleveland,10.093108626591839
Cleveland.13,USA,Cleveland,11.288420965307914
Cleveland.14,USA,Cleveland,12.586843819812099
Cleveland.15,USA,Cleveland,14.147204389472515
Cleveland.16,USA,Cleveland,15.411213066045022
Cleveland.17,USA,Cleveland,17.33201129358516
Cleveland.18,USA,Cleveland,18.970989640154762
Cleveland.19,USA,Cleveland,20.354677098398692
Cleveland.20,USA,Cleveland,21.76742533950047
Cleveland.21,USA,Cleveland,22.991440863458852
Cleveland.22,USA,Cleveland,24.430418353870035
Cleveland.23,USA,Cleveland,25.734951420807906
Cleveland.24,USA,Cleveland,27.03432927136981
Cleveland.25,USA,Cleveland,28.36439675196525
Cleveland.26,USA,Cleveland,29.591421502804376
Cleveland.27,USA,Cleveland,30.768970798711074
Cleveland.28,USA,Cleveland,32.32718804873935
Cleveland.29,USA,Cleveland,33.412856593580564
Cleveland.30,USA,Cleveland,34.6102087687404
Cleveland.31,USA,Cleveland,36.610490668018024
Cleveland.32,USA,Cleveland,37.59533416517363
Cleveland.33,USA,Cleveland,38.85055640447112
Cleveland.34,USA,Cleveland,39.34248552957261
Cleveland.35,USA,Cleveland,40.752615174406635
Cleveland.36,USA,Cleveland,42.03018054904553
Cleveland.37,USA,Cleveland,43.264626250659106
Cleveland.38,USA,Cleveland,44.46673010687515
Cleveland.39,USA,Cleveland,45.533384883091855
Cleveland.40,USA,Cleveland,47.25240732568068
