UID,Country,City,Distance
Rockford.1,USA,Rockford,1.921651470411942
Rockford.2,USA,Rockford,1.6888584958503063
Rockford.3,USA,Rockford,1.2207856432698023
Rockford.4,USA,Rockford,1.6683347277359983
Rockford.5,USA,Rockford,1.38889175030596
Rockford.6,USA,Rockford,1.5180240701915104
Rockford.7,USA,Rockford,2.009243086348304
Rockford.8,USA,Rockford,2.2734029826215947
Rockford.9,USA,Rockford,2.652241478709068
Rockford.10,USA,Rockford,3.314461739015129
Rockford.11,USA,Rockford,3.6479510911777586
Rockford.12,USA,Rockford,4.164677118004901
Rockford.13,USA,Rockford,4.324628395764322
Rockford.14,USA,Rockford,5.0273841853095425
Rockford.15,USA,Rockford,5.2611869644984655
Rockford.16,USA,Rockford,5.905090942676678
Rockford.17,USA,Rockford,6.263204079465628
Rockford.18,USA,Rockford,6.462005619259046
Rockford.19,USA,Rockford,6.669011273085924
Rockford.20,USA,Rockford,7.1250011101392365
Rockford.21,USA,Rockford,7.537266822053052
Rockford.22,USA,Rockford,7.859923957145926
Rockford.23,USA,Rockford,8.343317980031745
Rockford.24,USA,Rockford,8.780227912704605
Rockford.25,USA,Rockford,9.270464976317037
Rockford.26,USA,Rockford,9.789467565781107
Rockford.27,USA,Rockford,11.181124566639037
Rockford.28,USA,Rockford,11.554428594595668
Rockford.29,USA,Rockford,12.353221812630931
Rockford.30,USA,Rockford,13.523473091471278
Rockford.31,USA,Rockford,13.797679448929783
Rockford.32,USA,Rockford,14.199900795250581
Rockford.33,USA,Rockford,14.479822258824655
Rockford.34,USA,Rockford,14.768454435074075
Rockford.35,USA,Rockford,14.984629768485272
Rockford.36,USA,Rockford,15.473559358295033
Rockford.37,USA,Rockford,15.791104979449377
Rockford.38,USA,Rockford,16.064677784246935
Rockford.39,USA,Rockford,16.58875019576243
Rockford.40,USA,Rockford,15.239576297932485
