UID,Country,City,Distance
Albuquerque.1,USA,Albuquerque,17.66486584180243
Albuquerque.2,USA,Albuquerque,16.3979451649315
Albuquerque.3,USA,Albuquerque,16.61753846784516
Albuquerque.4,USA,Albuquerque,18.27012370797019
Albuquerque.5,USA,Albuquerque,15.614959756245348
Albuquerque.6,USA,Albuquerque,12.260905546114651
Albuquerque.7,USA,Albuquerque,10.353925929512046
Albuquerque.8,USA,Albuquerque,10.698079889263198
Albuquerque.9,USA,Albuquerque,13.11736239111696
Albuquerque.10,USA,Albuquerque,16.734772570983278
Albuquerque.11,USA,Albuquerque,17.328574455206653
Albuquerque.12,USA,Albuquerque,12.510298652413613
Albuquerque.13,USA,Albuquerque,7.941852961350868
Albuquerque.14,USA,Albuquerque,4.469439487078872
Albuquerque.15,USA,Albuquerque,5.216911738483831
Albuquerque.16,USA,Albuquerque,9.20835829738697
Albuquerque.17,USA,Albuquerque,13.881965104209986
Albuquerque.18,USA,Albuquerque,18.73396415950587
Albuquerque.19,USA,Albuquerque,16.950708741775042
Albuquerque.20,USA,Albuquerque,11.985451629204837
Albuquerque.21,USA,Albuquerque,7.090781620651272
Albuquerque.22,USA,Albuquerque,2.6853221395409133
Albuquerque.23,USA,Albuquerque,3.8008389701415886
Albuquerque.24,USA,Albuquerque,8.484423813061813
Albuquerque.25,USA,Albuquerque,13.410001832850657
Albuquerque.26,USA,Albuquerque,18.384081407145395
Albuquerque.27,USA,Albuquerque,18.677215431161045
Albuquerque.28,USA,Albuquerque,14.326877996122528
Albuquerque.29,USA,Albuquerque,10.580656935399753
Albuquerque.30,USA,Albuquerque,8.301265501453715
Albuquerque.31,USA,Albuquerque,8.725913675072904
Albuquerque.32,USA,Albuquerque,11.560362476888491
Albuquerque.33,USA,Albuquerque,15.53744589004128
Albuquerque.34,USA,Albuquerque,18.47524698502696
Albuquerque.35,USA,Albuquerque,15.750822573618972
Albuquerque.36,USA,Albuquerque,14.320547574526286
Albuquerque.37,USA,Albuquerque,14.57064780847767
Albuquerque.38,USA,Albuquerque,16.424539375955206
