UID,Country,City,Distance
Zurich.1,Switzerland,Zurich,18.639136728809266
Zurich.2,Switzerland,Zurich,17.035876432536824
Zurich.3,Switzerland,Zurich,16.60082458528185
Zurich.4,Switzerland,Zurich,17.42171920949635
Zurich.5,Switzerland,Zurich,19.339282267837
Zurich.6,Switzerland,Zurich,16.371258345192206
Zurich.7,Switzerland,Zurich,12.975891497328155
Zurich.8,Switzerland,Zurich,10.547185516705333
Zurich.9,Switzerland,Zurich,9.829863749679598
Zurich.10,Switzerland,Zurich,11.158990373176833
Zurich.11,Switzerland,Zurich,13.96186376031473
Zurich.12,Switzerland,Zurich,17.54587982192711
Zurich.13,Switzerland,Zurich,17.967676030460236
Zurich.14,Switzerland,Zurich,13.447787079505476
Zurich.15,Switzerland,Zurich,9.017388457909748
Zurich.16,Switzerland,Zurich,4.924265913495381
Zurich.17,Switzerland,Zurich,6.12479043689875
Zurich.18,Switzerland,Zurich,14.8538525007688
Zurich.19,Switzerland,Zurich,19.388036336896786
Zurich.20,Switzerland,Zurich,18.096536753276325
Zurich.21,Switzerland,Zurich,13.625487967092958
Zurich.22,Switzerland,Zurich,9.286494101225498
Zurich.23,Switzerland,Zurich,5.407388885595062
Zurich.24,Switzerland,Zurich,3.828394303789097
Zurich.25,Switzerland,Zurich,6.518376086307858
Zurich.26,Switzerland,Zurich,10.617801516386324
Zurich.27,Switzerland,Zurich,15.013394237348423
Zurich.28,Switzerland,Zurich,19.50594909445726
Zurich.29,Switzerland,Zurich,16.806364436756773
Zurich.30,Switzerland,Zurich,13.53343065097209
Zurich.31,Switzerland,Zurich,11.23478759945222
Zurich.32,Switzerland,Zurich,10.56664763467436
Zurich.33,Switzerland,Zurich,11.8090864858196
Zurich.34,Switzerland,Zurich,14.478324471428188
Zurich.35,Switzerland,Zurich,17.948706547224432
Zurich.36,Switzerland,Zurich,19.28887146080594
Zurich.37,Switzerland,Zurich,17.7536795756509
Zurich.38,Switzerland,Zurich,17.33907670333265
Zurich.39,Switzerland,Zurich,18.122138354252787
