UID,Country,City,Latitude,Longitude
Canberra.1,Australia,Canberra,-35.309132532638,149.046678904632
Canberra.2,Australia,Canberra,-35.3522760471768,149.222326260471
Canberra.3,Australia,Canberra,-35.2253310738691,149.144776805037
Canberra.4,Australia,Canberra,-35.3400026108124,149.065647811966
Canberra.5,Australia,Canberra,-35.271821755794,149.05104825177
Canberra.6,Australia,Canberra,-35.3278728183427,149.075562529674
Canberra.7,Australia,Canberra,-35.3166841177817,149.213795015907
Canberra.8,Australia,Canberra,-35.2899895051114,149.013834662632
Canberra.9,Australia,Canberra,-35.3275318176538,149.118535295735
Canberra.10,Australia,Canberra,-35.2803823298687,149.228594946638
Canberra.11,Australia,Canberra,-35.3245246813463,149.184692340801
Canberra.12,Australia,Canberra,-35.2357339668227,149.125587413269
Canberra.13,Australia,Canberra,-35.2424265012913,149.174829295016
Canberra.14,Australia,Canberra,-35.3357252991902,149.022652904515
Canberra.15,Australia,Canberra,-35.3849365880532,149.109995539583
Canberra.16,Australia,Canberra,-35.3503188271214,149.177392110936
Canberra.17,Australia,Canberra,-35.3561076106002,149.081273256942
Canberra.18,Australia,Canberra,-35.3662932621386,149.12356888047
Canberra.19,Australia,Canberra,-35.2929656023124,149.033899998326
Canberra.20,Australia,Canberra,-35.3383834479142,149.034168208299
Canberra.21,Australia,Canberra,-35.319840079606,149.102408896532
Canberra.22,Australia,Canberra,-35.2294175488243,149.117239452508
Canberra.23,Australia,Canberra,-35.3403290355064,149.175479053477
Canberra.24,Australia,Canberra,-35.2882893851456,149.036807816825
Canberra.25,Australia,Canberra,-35.3700893425485,149.151351900517
Canberra.26,Australia,Canberra,-35.2529155880787,149.10872955931
Canberra.27,Australia,Canberra,-35.2623866139673,149.172449095617
Canberra.28,Australia,Canberra,-35.2846628924259,149.231677087287
Canberra.29,Australia,Canberra,-35.320373774067,149.100473357247
Canberra.30,Australia,Canberra,-35.3753552142483,149.185785863913
Canberra.31,Australia,Canberra,-35.2302320227608,149.089392344681
Canberra.32,Australia,Canberra,-35.3706324358803,149.207448226854
Canberra.33,Australia,Canberra,-35.3512738331483,149.216279572757
Canberra.34,Australia,Canberra,-35.2989735795608,149.112586306865
Canberra.35,Australia,Canberra,-35.3491189363903,149.14293816552
Canberra.36,Australia,Canberra,-35.3065447588201,149.129806460366
Canberra.37,Australia,Canberra,-35.2493153977295,149.050175465851
Canberra.38,Australia,Canberra,-35.2909510018065,149.068161693651
Canberra.39,Australia,Canberra,-35.2642611367344,149.12731884712
Canberra.40,Australia,Canberra,-35.2874041806096,149.020681721654
