UID,Country,City,Latitude,Longitude
Cincinnati.1,USA,Cincinnati,39.2545977475415,-84.86579971363
Cincinnati.2,USA,Cincinnati,39.1225667666456,-84.6664985167489
Cincinnati.3,USA,Cincinnati,38.946364875349,-84.387757716422
Cincinnati.4,USA,Cincinnati,39.3739241711137,-84.5472007826626
Cincinnati.5,USA,Cincinnati,38.9241137456197,-84.9980805831311
Cincinnati.6,USA,Cincinnati,39.2633339926925,-84.5887535089183
Cincinnati.7,USA,Cincinnati,39.4232836599112,-84.9437244810847
Cincinnati.8,USA,Cincinnati,39.1614039109165,-84.6044413068131
Cincinnati.9,USA,Cincinnati,38.7035827898557,-84.6585503330813
Cincinnati.10,USA,Cincinnati,38.7993163846924,-84.2122904129155
Cincinnati.11,USA,Cincinnati,38.9283527232046,-84.3217007359478
Cincinnati.12,USA,Cincinnati,39.0773470898908,-84.1493907355605
Cincinnati.13,USA,Cincinnati,38.8442253108806,-84.5231759871323
Cincinnati.14,USA,Cincinnati,39.1293059041786,-84.4014330373067
Cincinnati.15,USA,Cincinnati,38.8280434063985,-84.9122075940592
Cincinnati.16,USA,Cincinnati,39.0219511205975,-84.5942007477862
Cincinnati.17,USA,Cincinnati,38.9757672189843,-84.7989363504253
Cincinnati.18,USA,Cincinnati,38.7061779697678,-84.5955485757133
Cincinnati.19,USA,Cincinnati,38.9255257699102,-84.4296670701407
Cincinnati.20,USA,Cincinnati,39.4145528422925,-84.917691479147
Cincinnati.21,USA,Cincinnati,39.2447472509747,-84.2332090881912
Cincinnati.22,USA,Cincinnati,38.8996774566543,-84.0459778783211
Cincinnati.23,USA,Cincinnati,39.2354741823994,-84.1486984193033
Cincinnati.24,USA,Cincinnati,39.4385057848389,-84.2077884000156
Cincinnati.25,USA,Cincinnati,39.322853431274,-84.8063109639598
Cincinnati.26,USA,Cincinnati,38.9916666923574,-85.0354167062445
Cincinnati.27,USA,Cincinnati,39.2278128435537,-84.8876104980472
Cincinnati.28,USA,Cincinnati,39.0321687920361,-84.1532356783701
Cincinnati.29,USA,Cincinnati,38.881722953078,-84.3637918058133
Cincinnati.30,USA,Cincinnati,39.114528318234,-84.8106094330429
Cincinnati.31,USA,Cincinnati,38.7950691513285,-84.7208504244308
Cincinnati.32,USA,Cincinnati,39.5414051397124,-84.397012567789
Cincinnati.33,USA,Cincinnati,39.350173124155,-84.8104391517869
Cincinnati.34,USA,Cincinnati,39.2564540201268,-84.6705270505707
Cincinnati.35,USA,Cincinnati,38.998459459851,-84.531249419228
Cincinnati.36,USA,Cincinnati,39.4633813491706,-84.5319846230953
Cincinnati.37,USA,Cincinnati,39.0762007706507,-84.4481545047223
Cincinnati.38,USA,Cincinnati,39.1660696596359,-84.80145393856
Cincinnati.39,USA,Cincinnati,38.9666100448356,-84.2727776035545
Cincinnati.40,USA,Cincinnati,39.1776197377811,-84.3909551414745
