UID,Country,City,Latitude,Longitude
Philadelphia.1,USA,Philadelphia,40.1095549650645,-75.3910348586017
Philadelphia.2,USA,Philadelphia,40.024263441532,-74.904010765542
Philadelphia.3,USA,Philadelphia,39.6232563255252,-75.2294785504118
Philadelphia.4,USA,Philadelphia,40.1085514698429,-75.6817718568695
Philadelphia.5,USA,Philadelphia,40.1493332705817,-75.6212388800554
Philadelphia.6,USA,Philadelphia,40.3642015834333,-75.0627387029632
Philadelphia.7,USA,Philadelphia,40.1307119612401,-74.8642587734271
Philadelphia.8,USA,Philadelphia,40.1790327945415,-75.4487077583168
Philadelphia.9,USA,Philadelphia,39.6544860369973,-75.6057452484558
Philadelphia.10,USA,Philadelphia,40.2184965623511,-75.2151754300422
Philadelphia.11,USA,Philadelphia,39.7875858455133,-75.6923179222095
Philadelphia.12,USA,Philadelphia,39.8180693543761,-75.7096609265267
Philadelphia.13,USA,Philadelphia,39.8943100550125,-75.4215342667073
Philadelphia.14,USA,Philadelphia,39.8835189834514,-74.8567259218642
Philadelphia.15,USA,Philadelphia,40.099142906238,-75.5175954334632
Philadelphia.16,USA,Philadelphia,39.9480944030334,-74.5620492870174
Philadelphia.17,USA,Philadelphia,39.9183443879401,-74.5488171226061
Philadelphia.18,USA,Philadelphia,39.833208529606,-74.77465920564
Philadelphia.19,USA,Philadelphia,40.102147132313704,-75.068583545249
Philadelphia.20,USA,Philadelphia,40.2936966422978,-74.9777386363272
Philadelphia.21,USA,Philadelphia,40.0919470279534,-75.186944300976
Philadelphia.22,USA,Philadelphia,39.8936426644395,-75.7598477360563
Philadelphia.23,USA,Philadelphia,39.9020319039299,-75.5011646160366
Philadelphia.24,USA,Philadelphia,40.0544016293206,-75.367425920024
Philadelphia.25,USA,Philadelphia,39.8047962214388,-75.3648489686782
Philadelphia.26,USA,Philadelphia,39.6679806462238,-75.2697077464574
Philadelphia.27,USA,Philadelphia,40.0486345303079,-74.6559902384224
Philadelphia.28,USA,Philadelphia,39.8496630283449,-75.0119632036435
Philadelphia.29,USA,Philadelphia,39.785099674185,-74.6337389631808
Philadelphia.30,USA,Philadelphia,39.8985197016776,-75.0564308329006
Philadelphia.31,USA,Philadelphia,39.7963974298129,-74.9530472331652
Philadelphia.32,USA,Philadelphia,39.4845839873335,-75.1989231524847
Philadelphia.33,USA,Philadelphia,39.8464972368656,-74.8032309404136
Philadelphia.34,USA,Philadelphia,40.0706510086106,-75.0397382223661
Philadelphia.35,USA,Philadelphia,40.1681336364801,-74.6413814457724
Philadelphia.36,USA,Philadelphia,39.9177601391784,-74.579323719722
Philadelphia.37,USA,Philadelphia,39.7249742083432,-75.0249266544296
Philadelphia.38,USA,Philadelphia,39.6795256893523,-75.2047694943282
Philadelphia.39,USA,Philadelphia,39.6065721472467,-75.1852749020811
