UID,Country,City,Latitude,Longitude
Quito.1,Ecuador,Quito,-0.178365322042054,-78.6453957573057
Quito.2,Ecuador,Quito,-0.281580397859237,-78.4117660402307
Quito.3,Ecuador,Quito,-0.0667791860865804,-78.5404314512322
Quito.4,Ecuador,Quito,-0.113230175096406,-78.3831030633214
Quito.5,Ecuador,Quito,-0.291231395097603,-78.6475216083357
Quito.6,Ecuador,Quito,-0.262529127767488,-78.5343168627803
Quito.7,Ecuador,Quito,-0.178576473191727,-78.5519558621071
Quito.8,Ecuador,Quito,-0.135152753806039,-78.6608500068986
Quito.9,Ecuador,Quito,-0.0751056654981924,-78.5908774737687
Quito.10,Ecuador,Quito,-0.141354624871023,-78.2928999831758
Quito.11,Ecuador,Quito,-0.143422978433081,-78.2908279913485
Quito.12,Ecuador,Quito,-0.183799016190563,-78.3524113316703
Quito.13,Ecuador,Quito,-0.103178586409693,-78.5085850311291
Quito.14,Ecuador,Quito,-0.231346608953204,-78.3702126617062
Quito.15,Ecuador,Quito,-0.341726109189108,-78.580338245185
Quito.16,Ecuador,Quito,-0.0583352700111242,-78.6265626447072
Quito.17,Ecuador,Quito,-0.219377374313531,-78.595816966432
Quito.18,Ecuador,Quito,-0.0697545206767414,-78.3709772965697
Quito.19,Ecuador,Quito,-0.0360551855665081,-78.4832902832522
Quito.20,Ecuador,Quito,-0.240695336074289,-78.4960254767777
Quito.21,Ecuador,Quito,-0.244184024511078,-78.3404646596954
Quito.22,Ecuador,Quito,-0.0916908010078602,-78.3769948488246
Quito.23,Ecuador,Quito,-0.0868316462688504,-78.5407914214338
Quito.24,Ecuador,Quito,-0.307807787310642,-78.4810894083718
Quito.25,Ecuador,Quito,-0.246265992712826,-78.2775822177449
Quito.26,Ecuador,Quito,-0.218513687008903,-78.3990284105915
Quito.27,Ecuador,Quito,-0.261169091175314,-78.3740644561351
Quito.28,Ecuador,Quito,-0.143426429170948,-78.3800773448624
Quito.29,Ecuador,Quito,-0.39007413949209,-78.4352158329223
Quito.30,Ecuador,Quito,-0.190617981553493,-78.326826959516
Quito.31,Ecuador,Quito,-0.204254849165723,-78.5802197059087
Quito.32,Ecuador,Quito,-0.225273686956281,-78.340910259908
Quito.33,Ecuador,Quito,-0.160255545580227,-78.6340021090856
Quito.34,Ecuador,Quito,-0.253904511012848,-78.6005001989772
Quito.35,Ecuador,Quito,-0.174617034393366,-78.5913567316801
Quito.36,Ecuador,Quito,-0.127901627330597,-78.273408791362
Quito.37,Ecuador,Quito,-0.35821464465531,-78.4059571278221
Quito.38,Ecuador,Quito,-0.0637050649531609,-78.6155716354856
Quito.39,Ecuador,Quito,-0.314051707402849,-78.4413769971412
Quito.40,Ecuador,Quito,-0.340424276802179,-78.5947143533644
Quito.41,Ecuador,Quito,-0.110605380158853,-78.6733112197736
