UID,Country,City,Latitude,Longitude
Buenos_Aires.1,Argentina,Buenos_Aires,-35.1996687380936,-58.6360525562615
Buenos_Aires.2,Argentina,Buenos_Aires,-35.1996687380936,-58.4760525562615
Buenos_Aires.3,Argentina,Buenos_Aires,-35.1996687380936,-58.3160525562615
Buenos_Aires.4,Argentina,Buenos_Aires,-35.1996687380936,-58.1560525562615
Buenos_Aires.5,Argentina,Buenos_Aires,-35.0396687380936,-58.9560525562615
Buenos_Aires.6,Argentina,Buenos_Aires,-35.0396687380936,-58.7960525562615
Buenos_Aires.7,Argentina,Buenos_Aires,-35.0396687380936,-58.6360525562615
Buenos_Aires.8,Argentina,Buenos_Aires,-35.0396687380936,-58.4760525562615
Buenos_Aires.9,Argentina,Buenos_Aires,-35.0396687380936,-58.3160525562615
Buenos_Aires.10,Argentina,Buenos_Aires,-35.0396687380936,-58.1560525562615
Buenos_Aires.11,Argentina,Buenos_Aires,-35.0396687380936,-57.9960525562615
Buenos_Aires.12,Argentina,Buenos_Aires,-35.0396687380936,-57.8360525562614
Buenos_Aires.13,Argentina,Buenos_Aires,-34.8796687380936,-59.1160525562615
Buenos_Aires.14,Argentina,Buenos_Aires,-34.8796687380936,-58.9560525562615
Buenos_Aires.15,Argentina,Buenos_Aires,-34.8796687380936,-58.7960525562615
Buenos_Aires.16,Argentina,Buenos_Aires,-34.8796687380936,-58.6360525562615
Buenos_Aires.17,Argentina,Buenos_Aires,-34.8796687380936,-58.4760525562615
Buenos_Aires.18,Argentina,Buenos_Aires,-34.8796687380936,-58.3160525562615
Buenos_Aires.19,Argentina,Buenos_Aires,-34.8796687380936,-58.1560525562615
Buenos_Aires.20,Argentina,Buenos_Aires,-34.8796687380936,-57.9960525562615
Buenos_Aires.21,Argentina,Buenos_Aires,-34.8796687380936,-57.8360525562614
Buenos_Aires.22,Argentina,Buenos_Aires,-34.7196687380936,-59.1160525562615
Buenos_Aires.23,Argentina,Buenos_Aires,-34.7196687380936,-58.9560525562615
Buenos_Aires.24,Argentina,Buenos_Aires,-34.7196687380936,-58.7960525562615
Buenos_Aires.25,Argentina,Buenos_Aires,-34.7196687380936,-58.6360525562615
Buenos_Aires.26,Argentina,Buenos_Aires,-34.7196687380936,-58.4760525562615
Buenos_Aires.27,Argentina,Buenos_Aires,-34.7196687380936,-58.3160525562615
Buenos_Aires.28,Argentina,Buenos_Aires,-34.5596687380936,-59.1160525562615
Buenos_Aires.29,Argentina,Buenos_Aires,-34.5596687380936,-58.9560525562615
Buenos_Aires.30,Argentina,Buenos_Aires,-34.5596687380936,-58.7960525562615
Buenos_Aires.31,Argentina,Buenos_Aires,-34.5596687380936,-58.6360525562615
Buenos_Aires.32,Argentina,Buenos_Aires,-34.5596687380936,-58.4760525562615
Buenos_Aires.33,Argentina,Buenos_Aires,-34.3996687380936,-59.1160525562615
Buenos_Aires.34,Argentina,Buenos_Aires,-34.3996687380936,-58.9560525562615
Buenos_Aires.35,Argentina,Buenos_Aires,-34.3996687380936,-58.7960525562615
Buenos_Aires.36,Argentina,Buenos_Aires,-34.3996687380936,-58.6360525562615
Buenos_Aires.37,Argentina,Buenos_Aires,-34.3996687380936,-57.8360525562614
Buenos_Aires.38,Argentina,Buenos_Aires,-34.3996687380936,-57.6760525562615
Buenos_Aires.39,Argentina,Buenos_Aires,-34.2396687380936,-58.9560525562615
Buenos_Aires.40,Argentina,Buenos_Aires,-34.2396687380936,-58.7960525562615
Buenos_Aires.41,Argentina,Buenos_Aires,-34.2396687380936,-58.6360525562615
Buenos_Aires.42,Argentina,Buenos_Aires,-34.2396687380936,-58.4760525562615
Buenos_Aires.43,Argentina,Buenos_Aires,-34.2396687380936,-57.9960525562615
Buenos_Aires.44,Argentina,Buenos_Aires,-34.2396687380936,-57.8360525562614
Buenos_Aires.45,Argentina,Buenos_Aires,-34.0796687380936,-58.7960525562615
Buenos_Aires.46,Argentina,Buenos_Aires,-34.0796687380936,-58.6360525562615
Buenos_Aires.47,Argentina,Buenos_Aires,-34.0796687380936,-58.4760525562615
Buenos_Aires.48,Argentina,Buenos_Aires,-34.0796687380936,-58.1560525562615
Buenos_Aires.49,Argentina,Buenos_Aires,-34.0796687380936,-57.9960525562615
