Country,City,Random_Point_Latitude,Random_Point_Longitude
Chile,Talca,-35.38228122369787,-71.6681725519907
Chile,Talca,-35.392278135386476,-71.60750042598676
Chile,Talca,-35.42683999846864,-71.79955740315562
Chile,Talca,-35.40834414285983,-71.59977202598913
Chile,Talca,-35.51976782590888,-71.55275247522296
Chile,Talca,-35.554125750658045,-71.65745734448805
Chile,Talca,-35.54032704209256,-71.66117193527128
Chile,Talca,-35.36067766720406,-71.65304930288335
Chile,Talca,-35.45229782052287,-71.56388662174196
Chile,Talca,-35.43769884002882,-71.75729527522331
Chile,Talca,-35.44132822182406,-71.5297376457882
Chile,Talca,-35.38243116796414,-71.6512651899631
Chile,Talca,-35.542124476594324,-71.70452284452037
Chile,Talca,-35.44940897908274,-71.70865928810159
Chile,Talca,-35.51803915583876,-71.61920311539714
Chile,Talca,-35.49077104140637,-71.71094823614277
Chile,Talca,-35.319608523201126,-71.7136220833551
Chile,Talca,-35.394060353610975,-71.63959230305481
Chile,Talca,-35.5425843521346,-71.71979209243078
Chile,Talca,-35.500279556262285,-71.73218149566104
Chile,Talca,-35.481334905622845,-71.56074540691696
Chile,Talca,-35.47400975311161,-71.63898856305723
Chile,Talca,-35.43555505571364,-71.56460580026177
Chile,Talca,-35.477947196754805,-71.6760152688254
Chile,Talca,-35.523156458588176,-71.68546025054616
Chile,Talca,-35.381453381626145,-71.69176810508459
Chile,Talca,-35.34567547635847,-71.61544795818259
Chile,Talca,-35.46839538384735,-71.72539702812449
Chile,Talca,-35.40867413850622,-71.79469994714943
Chile,Talca,-35.451658376011835,-71.7781047004156
Chile,Talca,-35.41611717757215,-71.77721940039913
Chile,Talca,-35.479520353504846,-71.63314497439443
Chile,Talca,-35.34501198483408,-71.56795322696095
Chile,Talca,-35.423333565674945,-71.68991815799461
Chile,Talca,-35.38949131214257,-71.59335883380167
Chile,Talca,-35.41448534067438,-71.73450027576925
Chile,Talca,-35.525933191163624,-71.59351993276461
Chile,Talca,-35.401934399014124,-71.60704386450655
Chile,Talca,-35.35787287535191,-71.7128505383711
Chile,Talca,-35.42550292399845,-71.71221568280322
